Npts=10, Emin=0(0.000735), Emax=1197(0.4406325), step=133

k                                                                                                                                                                                                                              E (rydbergs)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-19110949744625316523846778780483082290882425372333966981451965903686305299627648966866955290.51817075+19110949744625316523846778780483082290882425372333966981451965903686305299627648966866131982.78109747j                  31468385575137452337777615145875315209169766690068174671074672381521399991114572216538085082742990.82-7.304568002831889017180963088303828129235631965340024473413938667723879286630289825236733267583994128e+182j
-1.112788099483813491968209077202392563780551343014721688011260776669446272508439035776871803351332305-0.07044879214504383091690244081279754812633249840609831937219043214371379641402152779740863285196179628j                1.233334322038102003858452018358384472701469900613550128772527045489798174589684530951722541087890532+0.156789155044027066020666976594458697122999551812158841865962020789257935097286263824507873580672622j
-0.8563195909904143136362110198022252237963509043959823210465507305370505435994589308745214414454814075+0.1828793936244790159302169279904880512802675295677020825723416158119620633992187071598655992030580769j                0.6998383693015333228080189262809112821588321976543446765231969251572978612594558864630182225084596816-0.3132064150981777079995233569039169343922130636454840417508993306523678986759392933534595706831189336j
-0.8477141737622370266150120764697742810968949949229279844548690206102811007021156656514123560441126138+0.04750674719193240014245439304052488677292291391682453120466268093370360127247284673771044227955105323j               0.7163624293686340138886744524791967768163327327141384264927442313327861324220224367843532074034496434-0.08054428588788089716479087020205377328217464848239336698267560203508414602636152878807288019352063918j
-0.8211702907804962668306060779381920586597303682615928526134257590962245277900668018485406330968589898-0.14156414701988414657692786705686495826832012494623804031947800460429499284057502566176700137421521j                  0.6542802387390574186652198642830864623200587922381077774702728080876628512465141392427683548252798802+0.2324965435448223773541140179778153935380214400446727995885975369912628617492808563508452056822601513j
-0.7939365158908408262415789934819313543959416956903604132136061830959960426883177460846812788411512165-0.06229221958689574150495578138141335084140354124832303205150186187812374075402072740918710504899171826j               0.6264548706438253103410821244283776040230222449748295583133951981432822062423835383066954896906530355+0.0989121355718543940879950422935524318067750606917103382484688525304700014127825565771088729143675748j
-0.7564040325631696461173725442940270284345235125865468353561375491804366197899611228457431347240553341+0.2385991800022205853441667815011496894249470723618006622734329992376442650003864437035595786037682675j                0.5152174917800925466790661711100702018923095025554958617738463469591228810889789340697214865204097245-0.3609547638398904709469474005868979917070408454332032287993320196660720086869144678360889644479226022j
-0.7131154893171597316624539527651998856653165914836268522495979738335152621258921248002645641629477338-0.2363321995712336619159817989281859719043398127916592323045368337540308358540649686877988997126741069j                0.4526807925498747391185886022451863713511134614754060378193858486458273527678648570480072853155912295+0.337064304277281880299372041561697128258155827062184508357972697782768562550101213774612358333881592j
-0.6637298547128897204841866891325372039527813581045945660991705863501986296037624716143710137772964127+0.1217191063064668802804101588696338830169467010810954455739720199481856108783898723263592670306666919j                0.4257217791971487112317487781347195701065207442327082069739588027580022659941786104613004509078261241-0.1615772094891480827535085867314670998372831834486149546695104570147311450669943696074181772878347826j
