Npts=14, Emin=0(0.000735), Emax=1196(0.440265), step=92

k                                                                                                                                                                                                                              E (rydbergs)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-11767243265285423474054154.12411534979184009643857548514831138565438125244107788627305827417903941856+6.537817272246481779108879981797882648871788380352606357645786619606882914782984018654376099626711165e-62j              138468014064405155130554761284077790234774846845338.7826770105142090944069046200954225169423239296121-1.538641725330182613074800600983602558682450835498145072051566744362848538299800352303044685136942695e-36j
-1.029492538540497268631991002702902889276331728711558984353135119165979219295410296414777406045396966-0.05745742101886149198174219090689726890770293531580440576648802325422053881360699928882183251163705408j                1.056553531680418547652847781497618094692859977433847813967190520753933292670262856148293948262174037+0.1183039724453956847481668075747817471997051728975683312865827164985566922170626482381077126986897615j
-0.9964797918845953959309434974936988426352923696117078482494594547176018688395717586259773388416746403-0.06991628802244113632387252147627992169616610780676023927012876443924260043088158165224203827000763252j               0.9880836883035296063951287985597326056402410869993354059379484514483918427336537132131558739083907428+0.1393403362758911466380963961307588905965646842115599403223159693573758597359868219387779493224894141j
-0.9418885332215436756274511892512476885343215307374210714406881388585812606215481263718298538215815516+0.1994271559204395109991084488198745034586986735308889082578656990006112045353798092703019969200008204j                0.8473828184957156924099216061789481751407645729899012624616888004976391401988977962128275231499827112-0.3756763027488937217454612084001527146337497333849345109451021768403904834579095530785254318285006808j
-0.9365138752377172241862147876371206111018313808735199966748244702904776305154396903786390666602375079-0.08212943818829824122809837233902566326572159761733872386791708903443695542340490292622353515051312122j               0.8703129938956410811179004174720499634870418988694334859146023224452139522494863280407215655092575711+0.1538307168576394952366134572804592284630425500296027307476400638763576282282281817018882053221740019j
-0.9088548506415798092223150691755392833743013992589692810713853756739381801540501878457565203326260788+0.1492284550686061610113153115331330597478985969419836513431187699489640653638052983208017081463760735j                0.803748007732565335132069761053714181607923138362982780525013650620949632553131991586757592227230184-0.2712540104857035118169439655110957518805467138050934190597128379849009905099149465924528476074266512j
-0.825877881827087859124983111433252180794618256404005980291034576685679344981910133878044910608192317-0.2820333478690960016198196003308399884904854438124736844081165180442994955656415025208974857490518484j                 0.6025314663809467805163713123079345852222660233536096172172211668174229890601971228788374280023456443+0.4658502078854624581885028174266291118193115642401829995598052017467693868415823508470575649555991293j
-0.7583633647291964994722170137485786724141392678832254623665161912275926126873910156853684333551628242-0.244389906749973001012477733638127443279555321036037622913314507850833019142113491738568831694048074j                 0.5153885664421278182428627944618557966287595086773929012254218593049025306182979452878957718482110525+0.3706727039775281929308397453909887310912962470822544721413090646304918891485506793814196654914862853j
-0.7172561516364983693111768725347340066986239405542291336998400400373381461906025780642802622516295817+0.2760654069106752288250880190754439992618601186955443865125553283909077729159767344534984775898224585j                0.4382442781676428519961416375455263506445705837765947769323470917359901085635672991285095612316068958-0.3960192227214297935199963331432610284229521998376042203171732257292246170370278783331381737554296402j
-0.6777178164467887254999048085251383135462411059569661816662205803068716569261419735208084925705424236+0.2948841918581645903960171985875394962529310930581941713158454072229708113732119922204172898830193326j                0.3723447521215603910140598886522292992628349704707136074950230701211876604870722537678591416321863851-0.3996965412215824404442042291526304828948751867904275603328920657925569043419400823955195518248443855j
-0.6019298662729240942194757558031927091056674760808225982914119338108800293919984062336969075925009872-0.09545570278424251388866077124880640065151696456689279379219923873265613261600795105987862534179233394j               0.3532077727173066389798783456580115532319258951146296989801114770771489378974007621016768241977643598+0.1149152768238141690339551901017847992564092276006850169844014290004258790293417224878612415746028j
-0.6019221660392152294199549587505137377002543272201822543401084568438079566869892865823440050387665724+0.09547915032793590491943812773715113203696743910939564746960525451871695863231300552958084429960616828j               0.3531940258219960046469107594423594751038003825419441255972260231389746566502626008839619132609934347-0.1149420339539500539664212551935422079155706769242019730176113081152250331246427726456125107437093349j
-0.5957980357815169770703019729422384794153501837476077570974371878147301560432422746934731109188183932-0.290336347189015000494738496776914561956826540033272990901345685243476015027190298966863239540602786j                 0.2706801049420535255466029239593333189403139973770811979361103814514536197107182222863090567784802403+0.3459636507423913905381637860741431067002545718221943450715042622186953977384147965768445774775959771j
-0.5784789018587464316275070970115058460892085138245043754232910215245129424633638208199063766073077286-0.2043317040550370315357830362754498953286555009097169933925400876374485585456286435121734986218033919j                0.2928863946136659488719036831376255363680417375268268015432993172049649309863550484291986808320574672+0.2364031595533683744855059716844878898933828449536869941184602942809588494053106646826579461158805269j
-0.5767832613325593272708172360113031130659204738874983146097615339261233622133158580046561673855418794+0.279253648865136576039883223199018763119059782425200034217335462534456684982359175212227294857135345j                 0.2546963301489304331258572348513695238354398732536634777618350090942846861820120888626495575289145311-0.322137660662901658286338292717112087820945586202696794733053897269432168747769251234407327988234894j
-0.5390010164265473243158977568402160349659053083690680469253071856298795040935177417316199098222586715+0.2415608028462300216914240495571705733540022933697599677964238926205285390928486486164243171161919229j                0.2321704742371359283900225821809426922558226024329244263079835571923383921044682821407053470212130264-0.2604030365258615751500782323974678161875132020164775865378215526657083867461198239622883510771846016j
-0.4796228455217744607911948356674250956229654220412300219029853773454961422507503248291241163595576858+0.3391084481129664695986115936409678442358606705698387065089346272009822527619849020056827967551290751j                0.1150435343648194555622660797958133260865169136816588574154260059617488348265170114388216873970643148-0.3252883176488279744047481042863218854212676938116107845834136015986440817962163050472590613780947423j
-0.4589291833811594040283119294245578784210176553961544549438969505244546447870416393837031284225971999-0.260668644204131683223066463534850068738908568362128907210626329884162324463321510670732786346656457j                 0.1426678532876776427441843833206579642346836107592279890065090327546830716633030742571732548271412935+0.2392568960353522873593832356749428212868470631555277177695799167041010569610914773231212720503374853j
