Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25111081419935228225162641743792343389524277386981140912220533144336183694221700524536903.93724819761+25111081419935228225162641743792343389524277386981140912220533144336183694221700524481643.64397893369j                       2775291447147969915290876631461517990021772141754812001635199823355508545435694158763625506379.009852-1.261132820157232475553373149048272420580086421547244722936225643333281544491115248627670582587531567e+177j
-1.359123076760604901697569483883843608441869070122553907450016321085875035896336847775751261694591529+0.1861250211612113189207189756721808150729203531795006665204413699509827856712361920102530344890128028j                      1.812573014280951762545174211093929190922035750030250095047620468486647479352298236069399059886623584-0.5059336228455164461626514991284241801355469553185440145677734499333113272189937218451736084532718331j
-1.289821543722711795083898973180675256281574322624861823787678456106029608269047436977406273939940274-0.2341855524122948846028340762532955503237121718950280582201096508860319435655061531402010490336922809j                      1.608796741692587620436172045148179445710192817916074687035198348143279966127604054945899430671584859+0.6041151414599644423920770678155563019612308217613457529335193882141930522225903725942534542510543123j
-1.065200638820683553532992885142746873712722456747289851715238525816740600572725275617108012802152155+0.1735044608834726695913587207066611688436393060005484876989088746826755324877937612733228867100472529j                      1.104548602997527836607485656726687955597663949062951143081847060711768905954244212648058770330632039-0.3696341251426267776319060424672991745192495840187123971459385920448833218522906178713622946525802743j
-1.002399910683989102467755143118561217310089415485207041093761751397025240144839878075451113646083993-0.1245558056524200199789010426311974543423307755780440459521300807860879472416214157036328648851921762j                      0.9892914322175459029783300717930051422336372831516329625735023005312551832940192861436791723591928012+0.2497094569223162660487910386476089944072829806453480642166071799072179641190746014326168997435460916j
-0.9011892828738521372278233136194712547390228464717280837534122063875167110219242392707054375252581489-0.05951218939565510142430174725174136391138245182380891944647278262664992404522914938312304955083850603j                    0.8086004228800235615025352937507925627741096568451986797229783197755803817246546429837261863299476706+0.1072634945674465773334077640811756044215916188401711218282866627531491773526504053116657627151878149j
-0.8815989864032677520325769166915554373505909993544390803308359130900614564531087080368077117460474451-0.3076834371780359674188738696366180417813181271728819628318214137969270455506144054128913301201737686j                     0.6825476753135786729576483098206279622437851262331961077330675765062337218987382712967926997146313855+0.5425068126984600367929028135800269412047777081834131289788732406491657689621802687240184770842025302j
-0.8502134909988439785150844229426152977867768311702942809583394518797634143843353348076441058707893812+0.1570689046118140777367757483551501074460704608909084652863168915397147714410441875136166153725186218j                     0.6981923394804862012171903828724485377396618147197498568308375090461636580121258562873757138725191319-0.2670842034347497436943721513072023972056036391483248805123738197902526401172924737009265046136572848j
-0.7361358309326545840604966648227093952495305595348232220859032793435309207046534057853293338418263774-0.2266193695149308631136830011784077691532552586992512734539558026085153675016095155498275294220543098j                     0.4905396229435650377311513105388954156087096212467962075707007309431329206714745080394699174653714482+0.3336452757666158442516145247905792905009530220936252552148690759219672009377746247081317450105529962j
-0.6694366344703503243937092459634714532318352877806321668631945744792577807063585353326545897809416106+0.2437212316935734589816491683527806601749407650213181083472487586697860456493262914903642359610323565j                     0.3887453687927569162421798179962950811898343644104160774698837523366977193675711308816779979670979459-0.3263118421878285924022378690723390664956694856034794845342027044494406473474429809103769384584239904j
-0.6622840011618057663225464539171682246804349364963558792778859024229677969454322079391355033382509883+0.3117950790349968109544766709163391428301368771430507363181478395758679530850147232591170848858957958j                     0.3414039268844508337622923352314577878871505860938931822057394205693884359597561900130211838074499056-0.4129937849717182973600560707424822719910072194410153541907952695389194056519144409671572470357307218j
-0.6080288743602638479497615086971399959579894513369013614058659373906377096888460389371083153529034997+0.2637033516912021749530755908672272841745455260490956279352637486701608894576740691628213579986465452j                     0.3001596543626356587684023887470475776121688853895084981240442831456111067907659483511194483595253467-0.3206785041876608766811825982119512549895563213972700824328154818551480742916332165592643874185635705j
-0.5960070492455157535595998473317909348800509487304696300474459219634306738984083519404742813353301349-0.206703374170101200582266370895596912128633091022316362720538518548502017113248683603344819936125695j                      0.3124981178570417803918698212028416589525257339506553537455765145187052842290214842370297989202622994+0.2463933362164275505261559688502761175348402041520299096351872773078100207351970377747436785599176878j
-0.5862251504234029505613336334911557015073709114307752045222554500312207792119449217055548162244463126-0.2827249916879091818851902487250834140730886005415439609303686614018049948376318352077163550385787958j                     0.2637265060640131005979562508007129833238660478997487484834048245722095250097152383925529618788050537+0.3314810015613998180302244202852126013335096154270171068110987894533143465144820235421330004537445498j
-0.5454885004149844913302052161568283333529068959755505512845369355808455006110289646274090849612874132-0.2894946886684644835836080978378689639180990066590331349139814773885660893708856440343526449475576055j                     0.2137505293177373568950851619433227121292484952013802343436967342236151333154374469776975045452801584+0.3158320471997269891463517271939557669548238302511952898875027308584470847882742903899303180189273819j
-0.520924850325044676146992748589463972576419705327404526926553747638115999086017620649576984557456182+0.2662561112879476126060105390727727204008262240315533934342035429262499595660945473696978053029294916j                      0.2004703828879902543446598821890507191358288383883725518153607957030114783277212203633452065038407524-0.2773988498416050967407854824727102074478538501483447270450785529962898809513927599220637532298002577j
-0.4931300384611501667102502523763267569027677444106415338046762176494799159582026536152798564386807407+0.2862899359203420909536947729821272881943822394558250796858425425044141775652784310556854673770207775j                     0.16121530742342186203889926662978187085376385850827307546628952428061219741978678833349855697278124-0.2823563342228770239242551538027732619340902903042385209673532973704233493615056270118095326858875763j
