Npts=18, Emin=0(0.000735), Emax=1190(0.43806), step=70

k                                                                                                                                                                                                                        E (rydbergs)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-10391416492182505592393238.25474411088110136825322637493728518854689293824684848244623901684435125041+5.055130137082187428794343328806902346930494275800423916610920724156277142441080949532978800214843729e-60j        107981536714002569309387959790521308924619696235415.8573593788271841049738260548734500456164577023595-1.050599253532093054546034225304637011723766840526974904348316797087407343565014673494117206178108156e-34j
-0.9950181984216095061057897720796463896358698857749498455510989980475582286697021791016897554844839151-0.06919644988256789970442733439807957644016815256118103038654264432461564128635969583019577784520754281j         0.985273066513834735127065308575359484539122043152651631386972178624530143718283551694344875194088214+0.1377034537986478084716150115247184831431733771764337182626873221886176035895080779535169444064897323j
-0.9945044192485894172700599580009347965209395886195451825818407397893404779104607262633782010441220553-0.1068440950852157668713444529736305974984826225128838166257060265857477054036678259162128719999603846j          0.977623379250395481055754501686489539756498354375245555879538019552610062187297125165989002939352964+0.2125138494657271461160130551810600103346634663220021680852000378920098804368985058452489598201906406j
-0.9879150776597746443040956646763006131705095211442522151335674327544643216470679464710537155314933599+0.0659440733860179203627995760563025785185264705332314307237787444699666323706551956620288980290374938j          0.971627579852778049507524022937830940291232789541043492915014226564847071168501534260547816738333561-0.1302942887606995441616363318559996488057524745743522429696060374705495924148032997916584204857579154j
-0.9524719241316085291024523188258977779568728844863902743578613288134687033180694902265769533001455304+0.1736877304609859872972159127383633229034795878369516452179145334255164759550178317547287082232323919j          0.877035338546280514271933696502041864352279681018822161471623275817427466773172313212562287031354761-0.330865373660455033974264737328919656916035490212435067899783552240376663897421059090898083346353026j
-0.9185628206411035647057470289412402842831449548636162217843375260995766736164045848956275715712008344-0.1915111747990905353626642514817540948503118242612303624929688424044552218506977328978085817650074019j          0.8070811253912123872696103260557972480452487233963011098379998471903801402006939113836342837708971789+0.3518300898154880648854419327148919582380379547775888666034376172469544110954544516818311707398918118j
-0.8557301596124165200040068155494869038161289768922544388527438636985974002689112036721647576740368606-0.2660894405017686800282756223664717968058099235529867187902303256652754479946843084124553661659571063j          0.6614705157237475590412669624887003274136918088226925633544110310472425832946127561603464361549591875+0.4554015187835142430074456459983033645466213530424894425120025200472572828601973832633713446504561282j
-0.7947038184852089723178482725436983816606722348127423344683772244575706495503296526378824134337873682+0.2258390215634479996533096568347984956836807494468632839474593622996378947672264014196938478435343874j          0.5805508954542364393234311773559560615754981170516336443829377900683226163236297584343253082161250659-0.3589502655988711482620336803740477807250007491512836455993666150372890210812985140180021214186082547j
-0.71753021244713319500089097955932880061499051290051637292446218451039125458606458435017715210123271-0.2061855196904178074610110069907540654040757983877154112047575260624691105318745272405314209709841525j            0.4723371372444204272093233812344183433752793401888817960484659326947641340611785599699077010351859391+0.2958886794939761078763400835976393685509705607668711771831730530171069186181637861519146554023149057j
-0.6868530283126292309598285703221127876784438970352653446359127531557699453340312280434434638598851227+0.3275561119736304863151958556771533557760434015766533404856850504110458813633470664064270769596256993j          0.3644740760109478987050313625636260078809832756174136195898594851342402720323162728622635451378381429-0.4499658149027975421224248595641372604638678428506320286373453180832141102866302256015146553500536279j
-0.6692240928736955659948048456785893467108445693372852649169451957209921215917621168207758213069165128+0.2491894353279489657975026546894787868989502808640597773333425381095697002182563146000643880485435135j          0.3857655118035586483385640951380963434762847647704666016297301009375533193873889249690920117264073361-0.3335271476221101471939019193438516636163352731720893740645400190954325538687953325267088266186893776j
-0.6582450764425026197335228200084455903440669992663668552843539896670156937025204336717448434241763828-0.000000002694439032661004958804724119462245107063079806939005370915079649230964595892939591282909647133210408j  0.4332865806607961100491905245522457288189227528217640090016991668735237658351432592872866229466050891+0.000000003547202454047212044019092496391729463514443021563635694689038238675993446276968161996352004519265537j
