Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-17269769382360520998175857.96818727316694201171969452684713285382433223837425925346259364536163656201-17269769382360520998175857.96818727316694201171969466118322083623402977602801530055743595468539014642j                       -4.63990651836941625929222370077476453251151535795537207024044407287865532934371987387081733790314139+596489869039833781831721989942576634690951678207195.5951126015818570054407769108130680630971506133485j
-17269769382360520998175857.9681872731669420117196945268471328538243322383742592534625317953133368788+17269769382360520998175857.96818727316694201171969466118322083623402977602801530055749780473368982963j                        -4.639906518369416259292223700774768805055797051509530007483722484731759741295272433414624426017016796-596489869039833781831721989942576634690951678207195.5951126015818570054407769108130680630971506133485j
-1.013748336996203218550533840140628290066800714764476904796879342857228564603815026139392401533768457-0.06343959910358917444604496024034126649105091071588979276772609221253757095673167833021244017976934697j                     1.02366110802814349485338988146929703940059505939250065894544029340014786250784461954010237704303835+0.1286235761819387000656857945388527681524350730584227143761982236823401382196129393216901630035175151j
-0.9589822054614605491203110174605868207270410757634084754754725425784602165070480081736960008031574654+0.18073713805656246142816970616115134171758870915654946392805975149187145329051691519975554893864777j                       0.8869809573188500162480342954321649708508453718102000329196349060396030863874155934535716634158509703-0.3466473985245494859092568188091141855051161310631841135477619405503503291709390194930850208144783512j
-0.951118929449187428852265422462715034138263379481252522525456124621054749390449319219637052727085905+0.06784319474235211917569647847816235985104090661566499388991888229322339804754893407546012309917131827j                     0.9000245188837196594760476605181800875938274839813327898155146497357394149299886381118590969989444689-0.1290538935075173774854189551008257823180465880834431760070030878001617689889805688830394743288321757j
-0.8887871913755096217797811066031788713921913760143573162247797711214516018039601255687742988892980625-0.1121664591155571491073805799448741265975161538910961580888001769878931171896306044028898126499257073j                     0.7773613570026448115428823811692247784388859680723358594146165521872591784153309581325415072073155851+0.1993842243277039351879541777903959069191698664708454736670521192673407953468678230719420004982318242j
-0.8831464152162395047435461622656763413316839439594106406354007221324060403027955438967830100799259046-0.1854491040042508722276174592851733024084727320586558247939799330844211984628224467613546677190251039j                     0.7455562205333150549463577449225355317531863394882718476436169849394174585151269327864590579474516216+0.327557422812835449946914030478291292716810582129500540688942879446317256870593239945632962587660082j
-0.866212443719943753356683681437173291838599385630357005032317088532030316281689143856594992639272366+0.02355052502293377073187527885638317333065486712275535401775822025730951791112103079370900221577374854j                     0.7497693704264208946712273002060039760686198918409355833612302347907167403346429978106806161334264598-0.0407995156620062919027820424112000940305673007815153908004571043848213261813549344704345123718871826j
-0.854172715446612988615236012829347738798944124058688795374160810345395741406513951263376175444475879-0.2713270953501392666949531079292607728733503580466212055395357904750491136855896409482379635559433432j                      0.655992635142296918000802370535255431151505862849774128108937443830482117747733285550087095532297394+0.4635204036189410760151079548563490668998651017576166057285224716058799814973222922675352507246798894j
