Npts=22, Emin=0(0.000735), Emax=1197(0.4406325), step=57

k                                                                                                                                                                                                                                       E (rydbergs)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-1111985003241400700016542607609839522057593300400393909573589423688.141604499683110524337186382918531-0.00000000000000001681473854840438243664832558573767812848992019075148210528856963805231459292243168785697685845067253j          1.236510647433777925322468761113787241643417737528293892005507305467002346828850908295608984307990554e+132+37395474198501505010418994123088793033512756377981.50894923205646295648579451923385650376395306157588j
-1.221468000106986755942046011651409256126383387649512962942203797825320350191057238505562978954986701+0.04277084453076356351072485699820287966067355559267517703068680782226270219268476309360042911776551259j                         1.490154730143487050192171710744861893926828097809816249933467964151959610184105178288311905140458036-0.104486435863757244599132128930596081941091534051571509693678546391643789351668918254058846374124214j
-1.042292454557573267710551195196396190119555444204030460897182524823660038422236689902445504506013507-0.1818603334807454708418119642740813198104019505094459943018912554142262427945394785825374219337288573j                          1.053300379933922983222363046705739044248247016171686497150461361794003162870425118591193548553127289+0.3791033067406100379177748982721475299354137151979040827697800660903103050827950872323314917658885304j
-1.012605647742674551540544931903337881540489634248523525581938478880555273654537849236666483583386737-0.0629038090102243126287881463456248500296366663595714966349884268457781184199068013591741204675787844j                          1.021413308652366721680242493023940660599807614136934105232465865998753179099319704461930413682104944+0.1273935045365593557029294454100065521629434876674392113637628545337705876695211579248035475315102882j
-0.9760645970676574718939137325128225554686382046150534337763643421663879654678410810874763204038024218+0.1571710899108060643538850916706235550800246996396027316528351732893227490855680813289333147450161139j                         0.9279993461450978512467449123175766785862786144358447963019669613456942634686891219641273914574568028-0.3068182730889509714938141337934388548871868447052256916254655214917555634597578006486351231256834395j
-0.9590260366368225859090136051229106126417648222055990685946271201422456897564860635043949529588192955+0.1823130827542989864188625790133771742702090810080283358411133150610750369158982232121971572423636894j                         0.88649287880395630630875963436471347154269224064084821143784261381841552055277873951268388358407412-0.3496859863617928154174725755792654526534027593778382193093519857742844199953012147785209926449918772j
-0.8799889431993394342127578744581607127541535585136802592031973389613192078218715344995268345396086203-0.5787491177240441666124953761307828438152266937099439753353839657854940323578231401875215535729749896j                         0.4394299988867307113457367727408596525659287088840215132835177256081427510397063100173659608545904348+1.018585648967063427081778922257510027899769374279040035574180251271194677053380225465816727370298582j
-0.8542319577136815970129403820896906979402519558453128290255277322381523448185551476921128713517554067-0.2722551031584230545036967606706891944541487038286477491357113833570034056700134501016257344982085272j                         0.6555893963835455250237852406359385570450550212753850503642823707331601479548703496351405334476030964+0.4651380195371201273992734844056759214789283286747221574682286345643826187586253771280148959738191566j
-0.8379911160235659855157039179318914317373627437361053530796674309962418645915614074828667832778696994-0.1705981094167061585896835929986869770763433916834502757151036197844924832129203029358899886872551692j                         0.6731253955978671825026922007455887837593948481269260553696853344198965365549869889725748665805910545+0.2859194002032320309123250193691209176419383409758413348835730147462762160037817047319280330759832475j
-0.8027277902786689099853931994663404222466147771759179523916697313419665236144386132544341505060797825+0.2784162048213328732444912781060463332134920232319376340693438073710728220811614372490097676065679689j                         0.566856322178560278333347052174897394825815329548506700333438659332405532579533110032485959991707214-0.4469848497480036450274628398267775747096573893153164199722074526855631338103389304842450214080789823j
-0.7437347309920899749233638914189864441953939769115323350671306824577713295336057681215597967906712606+0.2787742832753291376336286919537591758146858755282110852531974373038035536328280482393468807644819733j                         0.4754262490682029853134597026905873767536058318825670918054370653744331756598832940400906972672556045-0.4146682331585792070859594003190362922986568904704671587230696600396409230522580388218036879401203793j
-0.7138317883145031683286783111991492329798557022050892386600671527664224258827464408787497715801612771-0.2072847747481635711062275396815099315062381272814127458908821782566352564809783117430083908379033355j                         0.4665888441658847519950397237676563783450902495311494028702298664245190453114585227230546472766593137+0.2959329228977011401676347951646349350159165729418193506714635152855422473796051632886737302267683385j
-0.6848963399512904967366604323009387325105531913308523881205141924956057933409608063053495946624648647+0.3227836730866943750289708616026872280960130403706142029142999574191381048377667767821882505124408865j                         0.3648936968673356923777166566217787741259017503675086498560186028279199273004519477762216511816601124-0.4421467125862216955567209304536100432064144262294387472392488721333083202636590591311109610681237114j
-0.6585727799717459779289284249523439218314558110548430245953942596023779943055585184210303458846790695+0.3449604912665153046141608829158671365620285274439483336163932909540263771421562498979789019913964826j                         0.3147203659848781585292829452060845644822246220898382092644552682911471136434758256223839932007022999-0.4543631794276163674768058866114549430829215918336431617495657209690293731568846899936481429500107803j
-0.6464905843140254739801303184684156790176569461758776913945491067509779866064821790701105034837965417-0.5950865351836554575126499476844749686204178254609159904325273387520949316870086495165640536452836705j                         0.06382209124980207550338002712879784459382534919254474555884910853778792217816646571818797113892189988+0.7694356836965805905047623084527384978569279101703265088051103232552902425390267564241244373050268797j
-0.6096570728908564112919503905342108860615807205772291128569243259848144202177012858998851949462572063+0.3361006810002022668453383797658700314579797383768085949837184495358426379020530733505710465275542074j                         0.2587180787570472823060576269232919251405265743324585367745187530534179282906219655072290222974112292-0.4098123147504135838426249605000201889547943315580089332472252907700898781251125171002505012352443572j
-0.5923535953118362466691170592334177786020800566535316964385154361628463264540221941752536620571056295-0.2055206584907461450374269690495472692606083540130064393753456863203811575273403009376245045204192091j                         0.3086440408123887631098157462810558654805604511119100837533431565235034478683876362585303294701327628+0.2434818019356990880040619137898788568826012514688298980765725161292507096061389407889444508136076728j
-0.5820323630576498811040439057522929093829020636867042294152872622759880012765670283685171408353309308-0.2824562795498551320976681553810127166723089454937868328290659504192286776226911604589542944354871281j                         0.2589801217893260515495726656472496126602967796008566849659595608224379878541583306641181214052310324+0.3287973916937486595512453594551205455936028429253236333627162003697080857251659886012153925263232649j
