Npts=26, Emin=0(0.000735), Emax=1175(0.4325475), step=47

k                                                                                                                                                                                                                                        E (rydbergs)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-3.809595592907013515251828293303059425602532305757238649849644994809414332869719450142777898501999874e+128-2410773956104900169261669401311731135046020819403.976881740514818593060601672387645543698122685994856j                       1.451301858149653984399825318906591517181285330114794452895627102848851267847968781387752082115838876e+257+1.836814767734446746964714389589986675473489849869508875685651388907388115477040267703326487415922646e+177j
-1.180102928053281472984141543152756648498757881294099496394036118040197238792892365280580549602770282-1.169176096050298268295944803418611367016021296378503376564108922402177120389121112272240781856111788j                            0.02567017722451214663015902906688291963257084166730452889578169569094615046191294435977501768295117908+2.759496268717723292529564156397605439950176190934487787537823596542992919367255650706919377621252542j
-1.027954818736527997978916900304262066620650528941787758188379666491099422638855951232041526499952868+0.07832821347000750812971887724216593137029415014025937222057463486113887113528205116947547293927088627j                          1.050555800338245067133442510593816924423486142629248975321082565641268210673452803003542552390001566-0.1610357289590352774608971006416167593519394656987286444208679539201375202011196427399805140517788848j
-1.001867355205583563101058990736625153508502329775811063954575620292270773906980057096859367475436705-0.06142974239191421512882729391799740313368293085974857799620710874393030771684060365627183848081876074j                          0.9999645841762940038367422720379451723200829123981419061608360658965823046572948210448853886731729669+0.12308890708229482683865815942660438487343066664764729896295359763226338306593202910511263594049547j
-0.954283310977204497613603485613611584643311266326146292253833748679753564823338571457191180935204851+0.1774427244761911293191783412573779376290975253515664971145082080111315579801799473813084871467087579j                           0.8791707171400825075253013684427485853509405105401899975273498946489225906909165345365827328642319852-0.3386612612439110310125779384259527829779494286970352947220768070565069273707521869422172403532082045j
-0.9504317911413366084701334773720471636909152274728786729089719517676231904545992953216264994371791047-0.2224932056811276445755938839193860170806233868698482540579751697496682915545082660933151920394523791j                          0.8538173630378647220888611344810444628796433787905675139988021203166057559373643370098463975139431975+0.4229292319845839144644230907200296998246247013650495989950610901914299676761488583270066408014908353j
-0.8544262119183573515443136126607141838052966596186491826417676014770944193285681811314673138825880459-0.2691933077781254530138461866923809470740699658705887790666549893293300550924796947779344559625235383j                          0.6575791146606251287705660182601911261362023161694733688556345239150621015906108297835556173819083006+0.4600116364772724253717033929372788441258612702428888380341703414310851441646222502419045625430014072j
-0.8523549198151563401146275223198670392814841293497210090621448400311757847639013474471356769063905232+0.2971403842941092027422095633585892297637714621491537420969943271587964316996857457791997348816617739j                          0.6382165013546506951979512153659710316395363300045225852109426736243075417947849483860923933355196445-0.5065381368577003796838612351160001483056234461925513828230248477234024034775345939168360124039767517j
-0.8237576552750615542757835042310243758548225693556635170407896717180487785454626424745780116360540481-0.170439499189224215894363835954786750379179252906322671753367758817406037835577401764625921224379922j                           0.6495270517403935847901959219781313346240893296992922095671339220187848374518488866919310456252804146+0.2808016844367421898226580728940802565974939877112987063888052907340463567407885362229842598407100377j
-0.7802189818696857300387693788388709045232726745227938011333074010810062180997694753234374361264347422+0.2498010237427855492115321660227766452608981121993595136314128415759128426182368692107740522712410013j                          0.5463411082068252802414872104791325239522738966667409484155718248943487342802447202045798997405789873-0.3897990008292026660110467862926354633006512540940254654442685490710777606000191257088135854292322374j
-0.7610137291967948327198480737076887550734343673187322149903571505702220440806009476825496032339559854-0.00001395921516299117829818482892281814471211222994872182693953845021285713562095824452053141348018917155j                      0.5791418958311528920641709674552266605450906934602010831701952273730266361093645177021788667746564874+0.00002124630877569672160741345257200915804697620202493029814983936865825571078771600057167559487367682945j
-0.714418908421449856718944733776135726559765338474614682235282511186150017119924119769395331781378349-0.2054935398821444277375298133533053781300513198486499837298744474231107090850163056899624913391073992j                           0.4681667817768014744974215806454799322826891421004384104353824189327707944042639507316534083804295161+0.2936169409005225874050589684755612940292364423067928808880127582470981264990302617829137231197624303j
-0.70742624958667594070486005839562743266016827692184612208370581514028451228391380806822087143813958+0.3936092136921864302013348481445650716914106072804725124110148595313192779873931219340140146562588378j                            0.3455236855008886400061840573532308847532304267021229707805818635224201828012959525548266396191049224-0.5568989796900478852779887687152766274319875314461931673413332562067381765558993223180127824826247218j
-0.6839036287818688449151524836171002647681630738919581832942778980331592815600568694455062272622720505+0.3269609599202113155874640490670246643690963203708442281723114257164828805025055833220828376937951964j                          0.360820704149062233625556509029679398928738610061078680782509346129723545908421751996374430136508995-0.4472195739188713946441694050948208846865612868190634000038465991374822033942347790658091302484745235j
-0.6354075895653714219459579511577822599846275595702075060765866625046208362312851044921690273361466233+0.3323494816775194979102469620744193179848910109569298397812461075742511791947829872679087761128814233j                          0.2932866269059596370812755099312137677803592734014245919735066658226414715307272710304981289493457133-0.4223547660920264774133237152220426243085521727443208594153094396858868139175727532991989968530622146j
-0.5924148879718892056144877947168544320164054770518873417952835061874488402908690559981562424665478367-0.2055175498760214697524008807802021993976377909452268854522268378905978068939996918853586688039805342j                          0.3087179361837030653486259856961558258623611541548365967438760974470905941715463721355441270861468383+0.2435033125721208226035697331312479391732855066065300497858507229893325100369439973580936201972670694j
-0.5866555142537434039085516080037096535191653183316439397512850363144545987881138273338538372418673662-0.5617401408184457152582724235693398075502052486024149443852350027338500812268797087656569709696244376j                          0.0286127065975969081395300566323983366271906567051112612963253487237170058344879374647553847264142652+0.6590959023776310144185619611646579600908510890441966702655388917837021669712021533723347762843230431j
-0.5823089748459236151147345409613788031644386252527733634784971399804846608370427934182134911337829283-0.2819727114645476954215686360512340762195579060407484974887866687476960199270046705259549980292072773j                          0.2595751321754414341658021345865763530801304514137309347276767934814740621459462699763964294769959419+0.3283904810948923626815845407880520199028000937911995223785965603918557570054193649178700981902352724j
-0.5704440511259793791978389991479234350819562974274681306804325794153678598543601335308075298879435225-0.0000000000000003649393616534803300468902569714931148959992812396971822333438803097935431448679811015026998864843316j           0.3254064154650189758400316222223937139027034014755931858573921380886923520500007227564102799556955838+0.0000000000000004163549757538804238934524027329568335387339149901209613957485894979914350832935072082031383730745819j
-0.5626038992996835422828611182693646333759436198307140046291642008623742768325400571033226174124526567+0.449818206303674377855460066440677437604846074066473244175716986972910630727715110000452669441914977j                           0.1141867287849534959963118009950193616966292679043782256073918639519637826172527163563334512065530915-0.5061389536848733929125780756833438272065537336588215416737823423301388846592631628973242818892081494j
-0.5569051935250582800899366585368014036818724555171709581904635207150858191402698453975313347179745976-0.0000000000000008575105978284071522571986046470551687002945719127571238221951968032157118240184157352205735429741403j           0.3101433945751826148951546618506920167035092746356239257624755697960042520273900967721025691822747582+0.0000000000000009551042108668350113301048137854873238094961403503687181029092981487123050308379016210234482898862735j
-0.534403468898581780905099207496823107552429973156171351946030617864570543337179984179425266369507091+0.3598141832810322401394226446653081049445441213297237891436927265347522328985553823848460831401627307j                           0.156120821080641203958220157753611045293216364495850675369574574190014978643414933048491795228693112-0.3845718954085874347157999750850422763145588475118279984459014866349442672185161674208789383416045229j
-0.5178409856046310527148504076660049692673027074639985004358301736162154087070021051957070979087935833-0.479333264826870029351142285754987002260626032107197540712590899079008450473911779094565533491686146j                           0.03839890760238938833543711501602318785468333534394061414776502644891944703200280711515020473247746478+0.4964368205820640139593820712274622737562873384477620525994242758489521515563665729254595903131826964j
-0.5172566385709043638902802851232496979313232974985237966349726087661594198658233417466366599327966274-0.02964946866096831347733040229833198240702540197856357914185453889329227909379829854886362919189440838j                         0.2666753391537934459409624906322231248442058996926812373359205256812261792553639283219575447742396654+0.03067276898997168539877785698044405809450339253811636047392982230439336974729785845959472568860451688j
-0.5172566385705456226701023571916828859883030710986783572412001311136131519548516708759220262109912562+0.02964946866106118558851875750072610462220705352985275912240809135978578229867583386941416176292286104j                         0.2666753391534168161681301771141717221269296853627132281739122362105859667618978176255817945898805359-0.03067276899004648985774820811135953659538165830259669623472776408352410549345740033026607310207532515j
-0.5114196506268605016240592046674382339415352742347443981097209916663972984172893184848970266942507535+0.3690865350158956455387010446235493369434518840460440959453830051525938909310940728610493839491559826j                          0.1253251887172600946045682430879019539992885042618888936154747801564142877732113907619872831351075851-0.3775162135778157319213535730351979287677033194405740936646045002012368056866528794530447849140341314j
-0.4860282261942392444106083857346441840307960186396053862324872864126448193294436498286497571006634389+0.00000000000000411399834651422809669250383124877902262932284110505385186545431737944471770645317066139770339068752j             0.2362234366575185867986657026509447176352034220856446024273926451150424729302751708320713200774089228-0.000000000000003999038637844686991856460050644721628733864006649233869954088050895323328840387130773296049626028945j
-0.4617850793851786503303022963686357407891941977222384421398688443173013725360910069050020782105204717-0.2526214888658221491030418291268604036856105308958004900130765843180975488540381155792394438097424506j                          0.1494278429059910440429620584372685939202497825865596457164062780236024495064206337238629711208547974+0.233313668580611411298533629239409793276513795647038777161655485101597517280768593656959891930799183j
-0.4461624008939500510848575021807567771289073960849502528554045290073591959993435221112047505302982095+0.00000000000002266720565979868249597572758119706910396518603180887184043739998251358054405338515644056660006455195j             0.1990608879714538013434319469827604803882285013056575515444346810517448850687186644242732137678828303-0.0000000000000202265097974654267135410485601828345028942951061139865915708285500099429747304516592884416841755541j
-0.4189515565164170607840389087723273375555414082532020336761060528258052404909136530865286020555317893+0.3825969847181208235153834578459082588338322811980962189602593383072371010748599941811949829717203914j                          0.02913995399213061962266444794115912439837643877507740773766282320407049413287002756507105178396648348-0.3205792045322891014414781928075502243805780843040906768712053469664857871841046511161320049791436664j
-0.4122112271324081515434930033668228156371420398874930460931600792733196425363591687366527533464488155+0.483945470947781682685413180806132946976310921835195117519013282822299254620409399796241747601636254j                           -0.06428512307686442242483409773016027856185413878620587447876048120196361961898745745775205673714240308-0.3989755128891125312078395797785890966375922626533830874330016870872803874187915127671459351668974115j
-0.3986757965757509178348157153930025585770679352992962927516910892145872396018732616483984362324914327+0.000000000000009452155928019595049658081095043359783991288397247614750489516380067202655840527158844850096746030806j            0.1589423907753095272625406229935189610778841564247931472129229318968517424093691585169104993983530925-0.000000000000007536691587922836422190342330528304165001131636535606133775069389040736215035218535123473400049439905j
-0.3794328181728191421098320778196030216253378032711639514965815640817124158921333494380352759293607722+0.3952198208352611820409285297281553079572936597759278501384170065161007959371609439235732133559939723j                          -0.01222944327448831651604869706110865253303090169305890311853333053697829174769881280042117587372372468-0.2999187408345596288987037566307955793093400653399190959302866583066008608878657588590890599648951948j
-0.3602041974219679598696335310467038151839618779063182080922383011872986816578660071143825437680530608-0.2479197118316579706125045951942437109103205570644307070833584180343698814297237398246338729045430061j                          0.06828288032571174032534385608967835236419147589635456983715387121665421762084358562810758358497580593+0.1786034416508158669923979514648783075857636542904052707506217067298918468531315319795302459620247441j
-0.3485470234416247131745577409404977701307393046319637969109709146169549514918872550912486230070708439-0.3178430424145925186546516885218118684536586032725677185942367631051938116526312348355638176338888979j                          0.02046082793865202850431491039451578576941920418094583500888208290790422724293246526630687875259597966+0.2215664927104725931520480453131091621875179542223172104693499728974986432636034995880185808101800265j
-0.2806141019460618776050583114480602848202186581135755291086033672427534900127299752219109700845452707+0.3999411874608262825902690595100332198659812512592133425104662184885522707880077175259128783585682293j                          -0.08120867921658098168819612884883994217161353540157258513364853067165299716492004962723977494508471053-0.2244582743011227014940524398487710648428511739239029443017318405358568088408184719892998446146428153j
-0.2768441149334837663859976192398545547245692621457745248341658083793500338967505467799253974512513544-0.001179337350473623030270365803722026163426368380127641579668387553051808638183946619073515649917115937j                        0.07664127313671774720326186755056576728949009959198769272014776732638588905169190872532355358886690876+0.000652985209999739839889991041823783502420952439317612433636571734694413573062549353295736180619731026j
-0.2535174718105702069866835547941187077432426191700149806956387710298692599682578653960590850972353292+0.5032651214174546313008075293198371077606420117532399946512989639339731518405954220352730684618762207j                          -0.1890046739221020926980457950443860704460362268097690339458243276500095933796311529696243904139580146-0.2551730024643854940422855931682819236329588451965222789381645900808919074368266815864847606988081122j
-0.2523858160708461612947232989879391628512893947576882214400712277872738813128933876966134923515437563-0.3334100834328595459208585906185252850638847563496368049256837158087952467191390504701300718749995847j                          -0.04746368358095937499030704356481901098130745063576797088678121846204224816124052338902344443192398056+0.1682959519869023245175937731994777908281800006012353259113816437253196862940827008759518991480095944j
-0.2248785554522893271354684186332155199193524622922960917801661914727013915112520408350316835102477386+0.394060519880806309095190133683610775636301199813914626706047152672776459708771805328131824911116849j                           -0.104713328626422978516011353206577778646513832130857427387813214626851169680142157392476511119532082-0.1772315209431477248235049518901607182837609624350482769706282360880769736573954456060355758359457153j
-0.1667068032872015433648354369795449275149781169603522035387718922773989136698875763840254217033890032-0.2852877738644835763101176863951333907119512158204152828813578964916234639649816036745401589696989747j                          -0.05359795565431500700399003479801180273780730400336710849177251029960257739195876997734196938566471668+0.09511882559574020241932820341976758123469557827578832548055656715072443985133719965044255221064827814j
-0.1499386362182916845126581995710686974466391771804188700118564856065507036811012999989023951369445177-0.3716692304335330570625184675944876052777379676056896472464271509178532884124865192287277464170910925j                          -0.1156564222200534842843036631060416639712741887439752807092582123116791961454875909582830172351104627+0.111455155071011875259446890723585263543716031539751294931308614827280266655577596280216682939734937j
-0.116553028966350132692085336422622461817737162416020656505681895357170680408113530525534446035007373+0.3866268403899201257829618491869696741288963621299553871874561330629322856891118129204939976337777308j                           -0.1358957051486619192390145815311084902471712298588617039149886417228065965839406098117289552836021904-0.09012505865426957970253217250463173666550632714956389156040526972711817508837791830156425522245390437j
-0.09816968386418514812214646000655187468941200518612464598440580808090753125733550709673118180021235541-0.0000000000005868480601100159837349878290775912043403339501067437307735840326663018450907482991999342311464531011j             0.009637286829994053835733952361081313285493323457618624289359912011620158138989687705737628388167537359+0.0000000000001152213770746211839991307669598839573830147131816612664061134994006979526489636634705939489163092398j
-0.08602115925989551546986196875377978765420533532997211945740303481867460828638776930133378084268982604+0.5117246828389295598429865368030624836557217039666963252320613839442317177209775101923991210359801483j                         -0.2544625111861867411791217261242149131398934824051369774434807065445071011940483508904341986138470679-0.08803830087941416256425757371982977496585087512612008862568556569928427007064144645052026264371816139j
-0.07021021307932916916872434801093788569918910187103273703904556876794275414896976009241026329160784091-0.3636593031584979808814114774789751692724499339609500698715327140518528653036150358902083186757590034j                         -0.1273186147530795347984130011506246564257682684873517795295336289309303068064064912381945941610314775+0.05106519432607701275558945301894677217345221230531538881589783149660887982335824651420441775018677055j
-0.05622581351895473370058363618419066613756911773881434342425356630379544723105394031530378654858024255+0.3724890640086437921790864890793514740425060370533275157689518829345837312269777030123375344595326819j                         -0.1355867607001672592221299658595145882292412515572826953329711655566245939318491381320010536040074819-0.04188700130159999852331514242045777489447011186912073011386531589995207960808773344570066334852074136j
-0.02844042274076439319133148085499920216474262351166347169490200827454523519660121774955506627927717524-0.00000000000000001632240794124356079161242307011913763885665011216335006667436800372968884249730791020654090797576525j         0.0008088576456733884386026743349234754087531326775276200356455453028356160712699287841389359444325405954+0.0000000000000000009284323639923533754255356600632584508420926411091900849834391935769858922491455925661565815362039771j
-0.0121845363055727578433011248443168983137548879628298989653882274865201102807640935728736391339333855-0.01836587620885892543424869513911113412312515218540191670785822194425392040936933948335820184792792949j                         -0.0001888424839373096651626859447495957696966742243768421629388447875011795676959107846359512762334287433+0.0004475593709009930784492251871170616612939976271245816568650342508470629854765114957612820214837063044j
-0.01218453630557271935272771095546884035089792999926551118126743987735784667879595257838186427662611776+0.01836587620885891434770145206765384267706623453177609936686785307889796271893437663808614574636920795j                        -0.0001888424839373101959139558125995381468020070749784080798273690595734207469731338352950953435764788393-0.0004475593709009913944541373588563116089113121558671130103089214592475229978823016842885430810181564128j
