Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-1186112207291536260277131804874919701828467822010604334179877312.760746174092083993890878901946188228+0.0000000000000000001149600682709886283234108386864811018511590507860035528762383037828298315467948231120389416176028984j   1.406862168286000283280663864476544272884461560202966076565569421496053425533186141509834585386623526e+126-272711080654576048795022644109126830438352152.8685806305399664746743238118689510093486166349238547921j
-2.247300122025691617779679801505348251639522490161060241145176550897382426722022169518013498891598646+0.001299674183491324843597226742193176647333020188666370168042256372576060462828910444799848934449529493j                   5.05035614930370520170004501225495059124140000061024198677227156617161940261780378560286504629714632-0.005841515902307390878636110253405629988904477806338393742853291347811712485660538321976603652127679516j
-1.183882829466976778294130357767052578044985373376145695499197351342997601700779494728670413203058527-1.129313287577721741472988497525570925093200301091911028656813717983552973348703112147266336904065349j                      0.126230052407132772944176861283875742138006989186464249150086471746376555763788151108118090114330075+2.673949220504333706775290988509918357936196748057533984351314840777146971244030335709912604355298823j
-1.051044071471774626882804346063231036382097898796542791951540109155160103368069023243860859904021466-0.1337599894246752516163413174884206735147532726506505967755686858066894154733643257015208769296329639j                     1.086801905405075654939491575105595478329412800597744898167718783826228805065528017463538306667362658+0.2811752877698643868289254609095272302425707830980506088260867284329177703187797035789919209864283154j
-1.01000347049889538053429035178812971851318424759668407086391036813955125202841237698198979739690534-0.06198903700595238043145537957710096917756181467876018834906998998384210367472963106925740401730551392j                     1.016264369710887697600461461495809131880794641572055570322203499571688772776361302382437568687782332+0.1252182850177927181931377000184245913465498874047090947545726981620166205327992683945161387373825108j
-0.9587023280042491330100725543674505498192650334914843745297175637566393873717561882092704489740565873+0.1800808538245707858373513820781344121750793483854345978900107584420818507261934658432444291891344895j                    0.8866810398065804607926363726261541935501887135467979075617777151624875437831669224299397306788973305-0.3452878675812178069670524669598945315125486261781256794775430522141844654860569417700418592617745863j
-0.8544406588293132905751131854949279674654645395160912648407195734776665289556150955976217878375103892-0.2713055395099018737767864699865527055189861370759464131693457570252924624785197660441136704569730853j                    0.6564621436919120253978083924657508420854275290186086507897576903681588333755278686508705669913217455+0.4636289678457656885349669602595171256086993820425027074512983522857505416896066690642044725151973742j
-0.8536380366364872545001946711387803481073380929167122389390105074232577843220622536018224094293048223+0.3009780547194239693465686596752353222406039129049778626693784848785952400022931504008011396254739355j                    0.6381101081699081870389300853150905002054685361168565468859830007199776897232276689882624409886976841-0.513852631402716607915009191591740095395798825313671459625058807090655138861819703262577483972375604j
-0.8238584148733998148510103462708025440354420230166803129981521125409987038506826203463879553174453083-0.1703999632849436882610928354226341743819330933101329188866481178369709584366559556173413839683636569j                    0.6497065402702008123101808844632887895926083270929410696584098017912125219816331862661327636265096061+0.2807708872928384669475662787708376896041150942271886816819922770587726161898321479172161604573566831j
-0.798601794207858742428234035640052453451107681711690255030305683558317897772970778203285889747427085+0.2972074192856096469750569652195509663097372019157780994129994348593344396975064569221216617988123899j                     0.5494325756335989921272599445648909068482829870056958856642985487667000860868956061049828705652346235-0.474700756586750445742069716365340452389888014799249728757687113030280436327516239593835675755415781j
-0.7134292250973121313536006145709945950362684819863214972467601785486446392337242523382652152815868261-0.2072427142452898352870909912922983226564582661804391249806566895218908092602678951273680337054973793j                    0.4660317166151964034956781100384964103899733809072727375599622260718923198497006775396975176878793588+0.295706018062161634639922680258134928030667150703952334982599397975539992226061332304001577538109722j
