Npts=36, Emin=0(0.000735), Emax=1190(0.43806), step=34

k                                                                                                                                                                                                                                 E (rydbergs)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-955291006908450541074290357298229566417878660874562666673991085.836434602368021295020750177142894241-0.000000000000004010181328068505371952654344135281992181115442639436369007309970097708026778302301309360542133650532j       9.12580907880161299393488697897221240607397197762120833405002920288121955586639179385792650021521433e+125+7661780317552059861957810693367913645971605330585.232960643465611924949635214840835358753987014971776j
-7.097905677463649206123246010031879000517925609580848480685943408665515749429004887479142441481534341-0.001033204625410504078629051908752245110993628019876561298484514667388070878143819441381994686837848113j                  50.38026393865890702411238220857068053602753964138342298376097572757871480802825657302695049974766261+0.01466717795336583971893449581600938963282254368466878430665249759341048959728858029658368324562496104j
-1.151465065622132236981172011076986070247704098972952786611683523397545174934475406115414575323194027+0.05608197788991563998107399475980791098365736246998379644975611103880438155166404423440725343760166748j                   1.322726609104136312076622196611322302585489632627921443144933729158285054627945482664134938153546592-0.1291528767024613631886116242602640676794568486775694637857477905885439585371504771323377845021760859j
-1.021746534053124020993203434131928912899939342612433907365240307209788826386250574977403812666075884-0.1926319548675315594357794096290588614792895865632388252889135703808742788700843855228887631867744058j                    1.006858909813485008992546197372178340407401881591896785655590292898202332236964633303266564576391516+0.3936420644675563680069343407782674716032547861868385589901544082792774957772329142708201254116219664j
-1.019694994352203144435987597045235718228635500827887756824063647802865452470059455840644238112779741-0.06580825386982220805020018573563623426633535092986559231465666715299580332226310141336345687249007122j                   1.035447155229544633007554972592428030253412762319222618092633404498352202499081164535886330382898851+0.1342086941162334143232175219184954193321661563216130422935857811482084340857400996572626902668979854j
-0.9631283547381660362342751834855319532122958449445552978373890111123433828711673378111926098970645705+0.1874842259998044374463047616883062861986013482090359806962895070746583992081310955026389299489903763j                   0.8924658927019008492469609609015524864910610995860576282680876539561093336135685173582744751748386101-0.3611427482531002802445642966378331365016384029238544230262592334622632590425874639553414884686296359j
-0.9006913600279105877970321379110189693147336585059564863858697673557352081644035459700207616003795936-1.425921460972090114433688082652200242371971956225270497674255438168487339907217690828367972706095257j                    -1.222007086831852660831266797151010567025560425649085959641277328349658960224188988036313448647292674+2.568630279951874146679936010444665262436556364057268106591861336895987359332385701603765841647842273j
-0.8511021953705261075764707505957849115813962210101509143276412327378923066128719212709354226278964708-0.2759276201468997057054823762172187210421104770940922952814641486070870508312885791028532307834258509j                   0.6482388954045974196939624991870297065282720411410498972809237885008644179284432850479334564431215728+0.4696852065407818980733195846059612399716255636153049446879601113298523895196976630193492149486216384j
-0.843478988348767753703133481263788098309372340872552218374623345635356481455073774948109477858815025+0.2801453254439828561310976268776536054991556954985150830950636780338235140515661564864691828833682604j                    0.632975400417745619755073557318658527841064301542439915760200395531737195579959249648410819576074324-0.4725933913922539320886780153810691890312801196273483916114212477883876654353050119318599241908336208j
-0.8225912145823493163870350798445476050618049839145060528927600536089311965068316322230731470610790748-0.1705043612108031910921641851073689426634876798815898696226912436353141992737637344899932184407133971j                   0.647584569116160610784594608323998970076159386552413968350844165328714303590131503405325865777860457+0.280510779159964410135393324225994487358826061033596471350613348352709289112796486272218843029856124j
-0.8050385036991171369401617463543430038631710096589111387051546229239498950675386214526885905241564879+0.2705011864127887824865010521090447724518829607385778661575072128257428226319906812384453352994270926j                   0.5749161005873871295460886907711641683460039093136579857683580185743927303237403610517371001206755994-0.4355277407171748729839025997828983039997676936380838942194859267387613033392962753524566192006939632j
-0.7140468827025313943726066974026125934938315337318390996895329801256219012614987897415020764967746843-0.2074492579092806685189485597355848067667675937521771943343983473928752509977145518552652687859338206j                   0.46682775609009137980706500464542470366939320601878421811395199399114311504911848772321310575970114+0.2962569918581506332788004669153076041834782118370107998436051121828478811983872785986687905767507261j
-0.691452897282604221197375073142585958162309323889127256640900204265464764170989390439619290325356832+0.3717817541482372469043671628074886347055319907780339091505337438675879711819174183804501203505202144j                    0.3398854364429673006361250826117011184207257631848325258415034218720688689211315284103603859938058254-0.5141391421252150098035710265551785007529287106322921278569895050587758537960406057986409659064374745j
-0.6852645545839182075539654986870505199302812717784056220078093689503391906493634960799997419907969018+0.3180101744826214217104829928630360505715974741443738614701201797511433245987633820621719633402631509j                   0.3684570386946284956633760848286968810546074329963445409480720000738827497205887707355073293836486683-0.4358422011399753607341923266973420170443304643959451176507475097516019164819003750698710678645158527j
-0.659689097761114601307971610457610264003222104768601457149729833444249548261115294026112711383607569+0.3346386773461151187293336823266798720589558261965978233496174392349111318120389218470062712905093761j                    0.3232066613289160777176770930293283036484730861512062636851980366212352389268743948848726335900856385-0.4415149742688628452462345683624088605460773006618781073830378456257320522433251890150809290611660953j
