Npts=40, Emin=0(0.000735), Emax=1170(0.43071), step=30

k                                                                                                                                                                                                                                  E (rydbergs)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-1794748294662687222564643003433173501541334786065628930950096.075632985796590696742452262413813933576-126010106801153.4248576539872440570432966270928910587818438444048121424037005463060283514903194154135j                      3.221121441194623960746137025211889260847188097635199509467337440527589754693414620537051919260262651e+120+452312848583266388373324162260823678414613995871261432508096033508872085521.2480246428141170389243366j
-126010106801153.4248576539860903373019153196217961030517521919559291645035457732945097859432740011274-1794748294662687222564643003433173501541334786065628930950096.075632985796590696742452262413813933576j                      -3.221121441194623960746137025211889260847188097635199509467337440527589754693414620537051919260262651e+120+452312848583266388373324158119550601689057759329055474050166341552949239790.7519753571858829610756634j
-1.170357506089870538399287547945273933297204799747037722900475608890509403392779713372728696297461521-1.049638427689332356737027642280422513737059548762855518455666422313763332696508632234119266080706668j                      0.2679958631787675636893193350102427686290759778734816254869898838182688524124217596861841625463757647+2.456904425053159860913743838108692568814428881005918036806682280349857166163518037871353344065304716j
-1.051107015730654191965051408388668261473190789810288810275356125605366118830171512361281700688873145-0.1316166233862211168985992137942299934395323317319074068864580033789218250337283320601008680160965629j                     1.087503022966611351536969413583515729927452860057938951290486716276449908151991299873096779073245206+0.2766863124560726158453611115469919421411511997315440487690957835263893755667506226863937521716337416j
-1.013298830726746097739313020528838540393727554512941135465882856228342247248751142745045926507185535-0.06281194611204913139370936073188653026285841550799878516087238811227017621142514480928718214470917273j                    1.02282917977780787762733078593253896322540611598346477499052209459835127348673919242258142321985216+0.1272945431020215409442113702153613853852464673633747441394426404840979821347310578552181013181823955j
-0.9603596081323222862913431373911198711824594564087124056201068101828192799178780936844217540593291828+0.1821108175844466968406010117972909898569299020899786063842130950405046233142559220637031147625062512j                    0.8891262270507920017515810463794682345203394809376005767123950540749680082699473397687805972726489694-0.3497837468241121128317882961861233531145070828787101636722540775468174864250182704395840086086987126j
-0.8559444201593159754607092011154210672495045058470226392495150796365470023115551279584091214702873248+0.3112484618905062995165829267491491736769375136584188497042433973047171853193414280148623446825322912j                    0.6357652453726616881865990905739872448203772078631018488755422965986776511759445108281857020216202966-0.5328227684766967407255984763906162979734008058045745927534597546086071038233314672646323168788743921j
-0.85384071606605614044063167508562680263241483541087273645683470412603098637984497099179939401845713-0.2727464990781770916000785790030511230563298609677559152843747954841042393404139163213715786238299837j                      0.6546533156527934434264552848376930713877381274019279576487866300496107779944916432936963344817364431+0.4657641321548412978288147264446257803685352825943649457078112947364021846001874141031060965143661578j
-0.824155269385735296482152650631086119226809573682017421318181147622667086004773038374672125598616846-0.1704402283113941297023130778737529886334282811491976120811648341379408595650633805882467279207937078j                     0.6501820366294337581932643316585963987266965165455828151043875361419212162884628202858763897147616695+0.2809384245562865134600242545303022728812465381707989075807864153548597424393256403945791312456890225j
-0.7955942369599150185157562813544424122236785655165482469630673446515429363805607849676261860217441057+0.2975241357987438919130940966697877546024543598212507513471901427202966546794948361965703731447245455j                    0.544449578501040011789429350585835527060690405209859137225204280533321183025843291678112540929038861-0.4734169755959195655408006110240239873948074053313479288717401510533443138905171128353998631638961708j
-0.7356218257893111830162588037672998601895497996855832623507143177597981364278266250844501118998415526+0.4242024238339264314294726653474426049018264442859618401600381497785543264941330599299666583458741082j                    0.3611917741910215361819861458917604422809718537399843215238478799791217176543700702245477342932847547-0.6241051230499283507972138639275884274342664925766498365762687958867004384196573483143158717504581608j
-0.7134410522254267101158898942677973228202634767636762687740843597144453972150813694295559882824718854-0.2071795474231785503275817243042509918604393931624740683613452975974105763455279862581784187721115299j                    0.4660747701300509525857260058478247989805018353786866374804660491460553756479653498244847557128533853+0.295620788626360395816901968383674459109135603289199203826305252047903760471263286324611594348259034j
-0.6972064762030123480229150413604029391207439610399871813551698554113369553307279675122625147199947052-0.774106270325506314633703733271100309873724551150244765915136055579104578441168678816631370658607315j                     -0.1131436472978442347307416474432097135646536372764209176404334964628094538544078809368827290875668904+1.07942380988060552419910849825291798015999826916986977127301153661733135973662874518255778745120544j
-0.6854331897065622562376903173191036854417086137704705085431180522040376122558160883695621402127385773+0.3219004009715225680640169558302923840507910554505512776468088226616308213233189244307309127077974686j                    0.3661987894056851550577759866937965294556254971519776037835906449047571440593511119699721796967226536-0.4412824372114641712156897681662454716140341381291014278388072574286758507417509188157745346712923165j
-0.6493007728837003374536605597526897937962234932453235870103013409782022183904474187353213640894682195+0.3727682406891320708186874799932361194737511423501001236195251411935824994404697761344007920195583841j                    0.2826353324008999086233929246773805961235327130561661922785577034173341280420701256043401863166407394-0.4840774135719013713630516494707636196216230865799087844291615683754359596808975953699436968418420298j
-0.6238508858780886961526793868942948588226640233601712214444054536404950946807509567654850169274968625-0.0000000000000003019352428115604090647510785258472693278190929783383248043169655591705895745846433298445275742601571j     0.3891899278108760461777300195815478368755790621487432527132142884114923737199519896088069999732574493+0.0000000000000003767251374116155462179054474363945215080287092687904813029931506011347936171806919940458467846899559j
-0.6208795098851655718341251908158839181081528329996341758476415548066188758440838008673763372954529278+0.4564897500682919670562455873403427294658058898026989220022733017658705681560957706928339547064666382j                    0.1771084738778317470899784844254247087072139007738984003144621120060333792482520198854832205052357229-0.5668502645800056872602849670931052401099766103903773675452007084810616549079790193736873442688576517j
-0.601154321612955455962712883114564481779256971722796255556783011271470772693986196046447136582710058+0.0000000000000001644813561137415303130274169191705998592783521385897239550078807482690884707115880268778815331060649j      0.3613865183939326832407345201278069509274586514092202530453240453601531288779024747152880187412002474-0.0000000000000001977573561050704661177854126013988649934776448960964522450778469356902674584297345218343919953302419j
-0.5924126326888706334908816224637514395546963576361977662026217042475026697887088214978555915689955123-0.2055177497690517143090711233900949094658454430999084978429437005939987568276333874614508738978301922j                    0.3087151818992241986920004952127029271738812525862179214764565276025119113511172276118240646303313695+0.2435026224099529213899520607605585073791520780633174742853021685220246811710216731768116032135511377j
-0.5825064677828681806001560597526807256842748689853223802654930676394291307634271520237868296822654029-0.0139547300856577380868301190422561368557126226770782907227256273910164300525455588460135745263595648j                    0.3391190505171100844069501703981913782402490575256234168338830264245032566054865339331588903388190073+0.01625744106211962107419177042913592026666253422007462066496521537182909826372712493551617574469650003j
-0.5825064677828261854503760274471310586432818819524458724993531102080545655734377138059634824418139517+0.01395473008560958050957784008899610231647394606377368519856380153118903357197674829371814545105405617j                   0.3391190505170625035662096811463570813270808925166065706289827484574360725028355219603085958081270328-0.01625744106206234481178718900309813526769760776349756941483109794797891144176359853378936619129493148j
-0.5818224035043476519822163455815682951850241186097387319533541749352493264766186041841114959184400373-0.282627225453830403519094553308926544428427497173040187079486621201896248174937271799326870543609424j                     0.2586391606518456545613423175773306674494727324127255822727229811572482464911583941747423067626594427+0.3288777032186254969476542058095360278250862401389853722704709329655505789164783005116273604336295231j
-0.5785367316328036303847693171762900356155430113258688304853364256614309236076345962497762272693689016-0.0000000000000009103534187968037985674417772188128944429962990229324976092225616552219648901335216302242168979978808j     0.3347047498483666487759138605238609738702674206580891395060898846705107346599686414147844947925083657+0.00000000000000105334578308290354243878797659163127213927056789696243253771263458924146639169635315398520575963207j
-0.5771095961824806144733180134635938966530071296208763676295692987834487120755839456250649775881271154-0.000000000000001002503268700083209814830363702583697312428910065949621367055246281549701973333267742313885571210522j      0.3330554860059058434263557977165491756594347459702439017872437427975126642573140716932592475335766259+0.000000000000001157108513142243757733042015229830174669437477820494138118668589890570591035378157731419169377547017j
-0.5595196842846418997044486747459066819106464322935415446518197685753818635887237944101418280297173117+0.000000000000000537554712817609222860787538830630606233956220678657457408501812911884193070747959507549048355270101j      0.3130622771019853476326066428431654273946587699228390070115338669804315157971192767168678641588293875-0.0000000000000006015448864028601133240741092008844341734083065677739372694816118080454916880027211084473084880205483j
-0.558020159764510688382736389413709754435018823805179056047956356580956190653595071740324001005492758+0.0000000000000006502981791698166373762676261936846189113342029962042395520370868483395149755074608207332590138688285j      0.3113864987036100333615446184024710451106382052866872464628343177158029644806719096515154987249846735-0.0000000000000007257589876698229532014135340145893424192351759262417283409589572710326469534952773005437716568891419j
-0.5384412464268734258391651665173973692687674289771127119571305896903642884849891867225851213764039725-0.0000000000000009830269944658165098525349213277254429289099980208693272582556736295947102553993000386714277875290187j     0.2899189758537250347684782974055487415486976411498855963027219229302586528266287662056310760502889228+0.000000000000001058604560342874893584742659565027724617111318735675949400083438529006184607060442122565250808107273j
-0.5344295719991825663996452960873277718136558139629673247432577609870652921803171881020584623318671805+0.3479544842527889113156300400044402166448407798967288935402282937833405078949728053738880921175214591j                    0.1645426443156051361622428441837885244161164992521999055795995555119344080820787687051681529855115465-0.3719143321888285759878715956462054708911742129076932530669115837685334783225194296780955344114447415j
-0.5208306926826594943989383301421525470449962596874424556057306490032410102723203053982395410561843675+0.01075544533259783477375694890984600912490042874867168630640977061923186840675114311413130536961026865j                   0.2711489308359963976536845540886110077196098838835387013398731812096445041966850973822820658553151557-0.01120353208537481463140830826718810896526011423678989500111007494358309170120821136088052916153968136j
-0.5208306926826578113105197755952048458505872634563283779820954361724262260719250719481984438519273481-0.01075544533261458878421334493490730521612828699427368220319068301053124426809638027886989728615613531j                   0.2711489308359942840517836588776215350717761489635730061611475248791960583224417991118698399776318394+0.01120353208539223043241979135057735118813559947741442269077938025008213204966846433854045427222591962j
-0.5206999810406621979720280374012056107242270282163134251370093454492044021006939391899578929615105967-0.000000000000001975663780140745027551820466235970546186946176504954395726056714337968744707530111973011126949793425j      0.2711284702557459724245598895525632554277376882131106898189722000086311753945610545466439968815017256+0.000000000000002057456185724017889852651284192837845537261891681027124590953051862708364954912965294417234409360849j
-0.5070224224391319570612844243080058091497472498836070673239826109912779102119201694470392893962886123+0.4152612615977992078117825731544994097605474143608260320371169139338719125582123931357777455443824607j                    0.08462982147224975400765408136719615397690025476249002353402756993105698635091805714257559326302538796-0.4210935416008924694231817615041231298951411683533276320272374393070817709184699801909165122226854234j
-0.5002906234484809789331337226693869471273271584494071252902552405746046444247118462072789856112498765-0.46511404248158255463214340887899352221011800008528164605939177167783572191236675232364205692876577j                      0.03395963539691040459414403439721944848067177387676503907789928073854509746860077143294793440601059983+0.4653843885755084067410677017384480434134519779708580926562745351024533177480171869365651905856069807j
-0.4960694557170941676016304157518700083008883205651922442192532671781841353879866817570939258544990971+0.0000000000000008839653991049433828568405471522924955090272991231984480632904201169305409895672931435134547815169975j     0.2460849048954540513258629601144009586833804903050556373752458738480368729422860286887058054828557423-0.0000000000000008770164688134663675989032490668049612042944630363421544888295367097307006906937976589432684057974757j
-0.4772637285757625750688706364667512687526911716405308157831075201282623865989135867666764743212873179-0.03446814492291868021040822241757568026878604164961397996944193163124730648827645729937183761231610994j                   0.2265926135996118455806571641701780009493657032441617511082243959740869003983409514632569940421291857+0.03290079072600381967345186309016230536845663986784139145199952869644686734068198402166390152327637209j
-0.4772637285742696897059723755680633806761939055818080714983964384010365009669026306682777075536988809+0.03446814492364993789930026625057771438782005209723623479604734098893942232940386587162260663908466705j                   0.2265926135981364353193993902381461443951096955315971424997502063968447164678690667019674167177034526-0.03290079072659891123766694079523442119624758193181471387644795540094446849018219098617330081008629228j
-0.4705868339220534763460235512793458515331317280585927922344652589165865370728449268399925011131898541+0.4748630470350060238050221907724830210226839017407025430211967933554227573603533381805269327205014557j                    -0.004042945178588002825226281006602984777606266012665379410869217618706824309874095169520453856001721605-0.4469285957015652963704411961741757871345119692339258863153533220810390473178272507798507679344297538j
-0.4617289354459364940803955347385600912357564703130891028914609020055530271408375682092477235333407603-0.2526660824047167740459079592039750170495085362440071259735623050090900144350199014867398509667065188j                    0.1493534606302906627780956544564014194455928290792546804632869170985321418735125460168324151479546162+0.2333264825040502840348808703950430336083579255984010269992364687245749753297880614192811544736723837j
-0.4393890969616328430105556241716140889219500792801691030428063092675599636011253313685595379337216564+0.000000000000002910810855889712136541576523526712902576491960017931213948806145698657003219829728195419074643946081j      0.1930627785287591880733736330730536257094820949279428352388257650018025155241023186227272477998395637-0.000000000000002557957106790996420380888953661463347949748813029494358164553508515860005491066189729850163991529241j
-0.4388103405444828090577115399083684638330787386771620387158585169357898261729524659380634475453215368-0.000000000000003932439384444952414546407910642313726655183251371033446972154724815017449998786377444358639858937748j      0.192554514968764973430000490242141753132786922305553331694824579809075291624087719618265374276161559+0.000000000000003451190130917651845605391860127677464433548720234598524916852868690577074582720124811058254409872171j
-0.4357568315561909946032284789205201996289537475250008203593549543181120540622824670280748953630584122-0.04925765896874983187483806754373179328046830674241544866106886984341056674703151523613224886881992809j                   0.1874576992808089510368575297340137937169822971823875810257429329479493042305996086530627394505293682+0.04292872280419564220643566314744853848362852263657952133268981400330687042336345919866667018794196182j
-0.4357568315490894521859127349060871297956512705082265872630936359235675315542425516576941289438777783+0.04925765896405321302228869963461364756277077317564888348172880374985894899504924409455303885313313466j                   0.1874576992750825486905132550859335660519119979838892723778131767796158028302439629417992483379670704-0.04292872279940286399698589730043267645023315536876036718626390801033566102464371007527681832814161992j
-0.4177548401583543010804031209931682208620241264271001151118339141499144993637934281914069968098452415+0.3677071233110409690394738977848493303895221358230280742568179555645609716079076029041890791971427927j                    0.03931057794205106262936682536552522308326044775922016606102770232277541641354006082819330901596506626-0.3072228610477843895374717408270441414963276069861052897832987470873028262912179425707234621023702538j
-0.4171402678975903322503342539640689511519768170999635693304511692672905166344067375702701754752995367+0.0000000000000003889484332765154832570598963015538253112341081350756841302185555388955820132068643579934057699831529j     0.1740060031016734315087146876247492168119720486874116136411619841795580532087725467952025529098452916-0.0000000000000003244921073106274139367969821456745258711636800902681684731872923293485793295986340505273215692318452j
-0.4028867294198321701807795409516240719154880622062156925320165380476659824278272469375348058683081714-0.01530373888923996846591528889385364579283274965558977509382184137696486136313192768003142603475025206j                   0.1620835123186190249386612864268320637131571117961878394578383278249642390288984757379265378470684621+0.01233134661796197220209073447310365819375018536259378031521113055142717371067850339470239239148519743j
-0.402886729419791400386502401413481093610630291618420885178206818614783052423233333224236452700074186+0.01530373888931539214529722856789624241711570628482815732030906260995672318699791363492032294386412234j                    0.1620835123185838651919197562079033309589699697761302005899151186572641332109967201861273181442213409-0.0123313466180214987405323569840673550363190795711463469426397897218285593307699643641833195168448791j
-0.3709011670914799775448866320661061885978707088345681263161277138524981818690973101054296497584171539+0.000000000000007511509003406783096693553062014947818924043103162623210741643449103548698222045515713676793816359776j      0.1375676757498219498654330796672270079204146704777138270903789197011696095059104658305311189369297196-0.000000000000005572054911963471002478757908015676651980264783353204064174042361459439048469743171338530154460147543j
-0.3602030646328335079761808829688098432567991892369223562901809264456240702838276662790013513755128273-0.2479217827404745287768654834034385661908925367725958997885326161074466815868007160124274536233736918j                    0.06828103741367017960201176513795561976889568848173768492481550394511633332764017530402706329484414329+0.1786043718647089071094923822211875801677098077954423832728635152917037796678500981742254465733471793j
-0.3563714586922553966335206312406038046503468069498814093605755340154484046534470657324579742531567052+0.4403155532126187369411477302301252186506707852973174259791923155781101332133033320231766122996687036j                    -0.0668771698304885880214830976555721636503882676991346421970730600780005084400447167336646942081037628-0.3138317919665366824298894399400566942342441354250720583779411151842316161923394093079582609132993922j
-0.3541429214658327564284862830850210738609224100842712124063040764409225259507210063058682440725648242-0.000000000000002198451729721442850953357890389005776839194521304439202141635021232700706708380518720721055356987185j      0.125417208824354987335131476757252747378396009217023559764740505607358229141519070377070703112283052+0.000000000000001557132236530330233404606087654073330248419441820666505540674604140615811295367268181609071451913419j
-0.3492714614622955583041272727783231923293127654845749674108208259480857669437142955903697110530159054-0.3183448216081745540879347678314353560502680131506310139017100559575078506848887282892493024015630844j                    0.02064712834726733085347050092417769405525209612361738447346786035094562748291046222352996441372505982+0.2223775221840817861757907081509203018942524222555658058363337595970000076585775408466273916616030012j
-0.3235308954145889109157697591189804566167690166174946785722002034483958815063740615635258892923897357+0.002013247085820696579639095731347793313835585685315245888929788803140860433474816605914642296182872972j                  0.1046681871239371024559735553151782154736768175824704377122238060513416940029994021316061414017965743-0.001302695264732763381297650536351881402493844847989357091634512152970083142253125811889320289507016638j
-0.3235308954145260528217040522911737491206687166425143812164396968662474121022953740412856501793938694-0.002013247085812661253544428929233527398189584731956418960293478060583476656353369122107876833856843819j                  0.1046681871238964617392529814404901148563137499097557230373192328302506372465332349914818315880859358+0.001302695264727310931055543966919236161192498141163266631990702637681266020629516548354031516054098555j
-0.3170019021874980432184416209176042320634162586280141986939799369859036409217772926632985657673777646+0.4889589568699320081549683123661295262755189416698383958357993736257193910899766238683889763988216485j                    -0.1385906555128399530754513764433533645809776434781904247296947867465928340024897262754159464933977043-0.3100018388387665216460942198855173295674959746241423163042933283538906685501636012348273051370703394j
-0.2768441149338009541792925341911565723798349548351805613736294930738569716310553960728688549643897356-0.001179337350469026032451739925447817464650719789663395162108383898776954125891253245718853358243299157j                  0.07664127313689338119388929429273583973543187179779614517819433877630431295727728588290236821306058224+0.0006529852099979426791285848524103452640868590141518441154513642284990326181058508319573608389073537632j
-0.2725132786510712645250263381180089976197116591621962861523042967656668994616985878492277117049928065+0.3892345538622800450095519122183899826380915572065690978016455306481314459819780538204515940337438668j                    -0.07724005087921177206521864222294861312983732571411822656995033680635774566558826779617329761242506786-0.2121431688745938575989793524389147790295943577489372827767965310354309236522139607389320582844855614j
-0.2545759015185344113594370771372527022312280018458576290716577424375861456246415514126925329374644597-0.3339089528653639313776828371984825610776612984904852002856551916643780910389142960710327802088167205j                    -0.04668629916966930038715412515017970443125590521944934527493107939875374236484473766108332261493462533+0.1700103454016196736901265721549965889325020894766831762807017611550979169469740439559911529692471888j
-0.2537451594641852680673880975903939320378253840238707403758806895215570179759750729661058333987488799+0.00000000000001819068827956653063990561937352092406027003253919316096776434440581173684584343301235009622527283001j       0.06438660595150481051790199383545585851534272461733026515997894787986785305825069769000082908083268438-0.000000000000009231598196523790567364215917724426307334096454460452266331730816192976251985286672616249726352287112j
-0.2046438303459318827770149954305907846559724574239242692866654225078060551017853506590738871691957457+0.00000000000002666519155008831891535162698197920389978472207610045494742399767288876192229286686781426102077560205j       0.04187909729865455094086763607531519829330903217259662123755997580145257702919805557854702156653962006-0.00000000000001091373387143610067726161172275011080833122678698366948623959275310947152237686469281055044652599885j
-0.1884663047761837965680591091632586117763240199296774302830440770395576534744422169048683453938845732+0.4511743312178447030155858553029968032697145706797690099888663595313378618601784426207070099982004101j                    -0.1680387291138800380071563207408636370164783310718335333593456494158968051489214331683784088067433134-0.170062318028986430684093627475405051696370116826582809191057218163120363399432731784497385792662623j
-0.1667044963456462474975861993420091039192048372129452180053080559274607976860412541956177274858960336-0.2852776688165946269051422880035709451557732172485783087990190147221056012523644291058605578099319994j                    -0.05359295922357506331026081738514179036735693467596318549397865913181757780838903239986219839890951021+0.09511414019746095887168976004729501173508066618482500788388030492594101108481247114268215979994195582j
-0.1600986477013976392055626482479433383684417841473614944983244207894534436440349298653785406158254589+0.4950108857058035065000773207921142109017823998504934764628176231118570156608035994555625535043945777j                    -0.2194041999714278266920035260556694705929877239292239807017145477291111381694302294367431213153243688-0.158501146797940496107246522177045617700679473983306907792997061015737161952402246895616149069685593j
