Npts=4, Emin=0(0.000735), Emax=1197(0.4406325), step=399

k                                                                                                                                                                                                                             E (rydbergs)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-45082374780317938493373365795403612837113939345439921651975237050305559277389378853969204797.65136851+18673731057994471614595837481465833088141040725598185195409023921244060477611694823426671156.41558042j                 1.683712284206739564831038907849022245978475350542007868325128542298229512041435354345052466814241849e+183-1.68371228420673956483103890784902224597847535054200786832512854229822951204143535434505224625442274e+183j
-18673731057994471614595837481465833088141040725598185195409023921244060477611694823426671156.41316994-45082374780317938493373365795403612837113939345439921651975237050305559277389378853969204797.65037006j                 -1.683712284206739564831038907849022245978475350542007868325128542298229512041435354345052466814241849e+183+1.68371228420673956483103890784902224597847535054200786832512854229822951204143535434505224625416811e+183j
-0.9038902304143257257994112666849916515039635371919254412924455352727140808218541943400405702080879421-0.113236932556895670506632773169508544497472869350411173704426407612767614288800700353013266568294649j                0.8041949457435679126925186248784195911494899389239315723265339603110148565223140970604423758501744835+0.2047075141205277799383585919771551735160404606645360113088598721284067405702458699977283100476372859j
-0.8301168017434567377972548427472090150943996681665833552180824553170644093548142736373704686116448464-0.08957166385269286116084315203769673308715252310034441949409564166830304172220097952466971699775232281j              0.6810708215714456543451390955672569299682385910420365911770122294142537803921658342691469733320134662+0.1487098862484747802987431796672168769765040756932301468712759462099873861284002800470927600479877687j
-0.8218948183020913795266344090148955496505823267126756794361765453584153229100538945899330519571315696+0.09050798956761816138316520851561953099839878720324142959292358482902861748265275521715938933108256983j              0.6673193961762557249465575689969415642517870612049312439445768216809134303474482660643980873073514326-0.1487760952811302217403504060632620240450981047392277699804734084056880041076486159111999136436056305j
-0.75017349444734845723292260719051221695352292743116023524066041056290062329206123039310291201275379+0.2911721602186072258211289470478580814535896983128220520142779828974226734459629440433708451354339302j                 0.4779790448849756702803019928419571452544026448246288877063156967074516505899948704810822009497878584-0.4368592738339516061417092501819536266915166167428564495137169406122501267294591919740757629136621422j
-0.7261438360513646343667698369783260204765890721827061204640465291259643305872596737328564886376898833-0.2839666421724340534640997831799315575019738406422901009506983546561971055956934253646041844232191349j               0.4466478167687039189832544176095780489637596494158193033847089118443443991909439127270847653125234618+0.4124012537154329595739938878944599467579089438762438819660460767023218315665480853284978524342961263j
-0.6725444179778921766689515543948192672952692018691266213669171356970356018093070569005657228303583538+0.3608757717455178197438148527912944012363694655624270847438099297661419074998469753090165882898229387j               0.3220846715202986601052619249735640292587678875520611162651923664999605298327610620779149998277856408-0.4854099717418238967640543939502218610591474443636948507431073589089870665352024156433476419867517692j
-0.6101785759661535945173009244846473445746982593287117046747813858394158734061329266804305202928679743-0.4754100479203176323376429193131760865435007557135142893633198695584710160406062015536695067212145917j               0.1463031809044843654647221254237971931009914065714186012797876390120119926098930687562118367443471862+0.5801700520800405062300280775368177961694680150006201962244452880111782252462714175060675829384651092j
-0.5710699330719362845508945660223339989293033525171087130544824119607091661245075045775417161389115671+0.4814173887167679636020885223570318487918697105770105117153061052831861051420139154796643794077444283j               0.09435816629991412121012204964977532980876654904182543126809029657836935479689681719943908522795539192-0.5498459919083020304265383406940196851625592476264316588043060789923172976107584522597793432180720109j
-0.4423178520416328337876078672871854198553457108094232036968641367217850986929307652495972716773146389-0.5839856028078931027040469738409102012172835512922289523615482187209252933915115604753842029974052504j               -0.1453941020521744892922839001035717566583040794087862961172019322431474943707948398919775054038936533+0.5166145149144508427394528979141741478599978714717775169538824101204254281820341426849830334243300937j
-0.4340531903654939813661060323933909379356102686156705650231009550478265973099637593510517276970341465+0.624726084713142717908234959085195116111213794384779433499570680737022318674882251851886624886802619j                -0.2018805088545490142833255178958959104605865502429896572266416212118397775584478552688364856877211773-0.5423287003485669111968105489137506578422735886213047129380192796375574046739847209109612142434970868j
-0.3546176493825830568835367344355380837770783072705550985388164242959854566549029705564625835886428417+0.0001398761117853229420752313000201646993631862965234881040847094689552659071317386595804598673087464365j            0.1257536576883019613247562727003165250290242670011175313603953709451196964666936340485818084562222612-0.00009920507593217328971258770980552389203824278588669544252894294668529052828095254715505236027673795646j
-0.347476750286418649686651395009080996896268394808849062474501530563588127026445079321116448351117917-0.00007008812361154961467003032795680535614832532311517722718969307559863367842193245396927225469833554438j            0.1207400870772650717591893319454568196365753528435614296687142610743232213909106080364197073115801642+0.00004870798685242813658637122008312996783459653743136918314644673189208831838819810158035230777262295184j
-0.3226528485917752157227679931264607313237092102262807070565935595328738694977408442769027970640440713-0.6437070852867637661318392280653773918360785835375045149449277830423863848516085476680417796705389482j               -0.3102539509439939392352005191446221709369441098939072502172224593661305712548852364045200718545894775+0.4153878494529662502069854259285843373607873183843666662347849223667277883571165608975902835843496208j
