Npts=8, Emin=0(0.000735), Emax=1197(0.4406325), step=171

k                                                                                                                                                                                                                               E (rydbergs)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-1750330814213626593119330.330336734217444399994934358540003811267353462386989082716050102012069819587-1750330814213626593119330.330336734217444399994934937137312299648994905874961356012226716123997576048j                   -2.025473396136563839621647191215023518315906808319126527823006781609224888254986133220026129933351799+6127315918371474026597689667508283413358522321455.453685741711711347971308957056315073170282057402978j
-1750330814213626593119330.330336734217444399994934358540003811267353462386989082716050074343335949669+1750330814213626593119330.330336734217444399994934937137312299648994905874961356012226743792731445966j                   -2.025473396136563839621647191215023518509624558250299527007758599823163764940480853052992557416760686-6127315918371474026597689667508283413358522321455.453685741711711347971308957056315073170282057402978j
-0.8900191046227945193838616367993640577734466667658681050737120956084903642486924286813065380885295345-0.07739327426053649706060486406843156358790722643443075757787779061275508978663875318669399554606825389j                0.7861442876927942355482409054610897365152412472379346063162636755834802400519991687082979132886866519+0.1377629853223781254396247842398864136661122144003076344162745679100236447904050451323530758647196851j
-0.8388788309088348768802477536667802681999796413428169569539493371733413416138283059960864679301967959+0.06139166891868867670106325045832071836436115726302439619000961144669015345751664259918719058177088202j                0.6999487559343516918722024995091419134284554282641184276472088891590686041161334470037632400495621008-0.103000342900103624216851111064436714248403246926133340630573702187794764583216752468158128913672893j
-0.8325807528148145588384159236969926440087743514826690408020008431750503241899021366075828915443322392-0.1028577106553591528703415352340415503799890172654502105977272598023002607574339860095863987446741203j                 0.682611001316421757127333784060828535098097951519421352664953081738895285614264973958245191989732399+0.1712747003404945929152956297355310522240757803925866003869171261715848785116387517128999992236396293j
-0.8181878460165480921627718753585922775386553975408957216375465736759184101963442871004983300904581129+0.2300284632327151620137094500855597722237426260977857021352309382998860881764991887627202604118073314j                 0.6165182574719940206406339574377016746726739239998439894893140614774524429536459868512162370405493594-0.3764129857097438946983474193847809475450326146609863172649789828590308530718674964645507985017844599j
-0.7665117274352994628093228828651057757518655636632746310642493512125116769985963292944682770912692878-0.1837987085941283221374677364308934772724607176271972970280654592753277978632513695418842538574928647j                 0.553758263014977514846641131751938808079258360049613921263169847035216313527913297714576292211691535+0.2817677312497250427545481235002215949170181917685015113772980958032338467751114851281099287199869659j
-0.6830945233640472014724235941807011459087968687549538234539044340669290899853688037096521246579942767-0.3523200409431535741800106690909393273068008970198361645457409295864583332804267995260829437577795066j                 0.3424887165997694171590832335839047229356026055020826832112927784671206064777992295811301557954187158+0.4813357808793301715964885259504423879488040679936251425786447694315539289513404347015649214317968328j
-0.6358555815491921428994593205622439180716587220264216456767202086283216744800401933298517687206978094+0.0728164895081990802375943741185943549097232264205686797922686574592492234071352676567971141579847043j                 0.3990100794429636727794253501331679471738218200376107267944087031507025911052230225687886421870130675-0.09260154256521314867913007682879401438045643048950031860704674770861631935590574120855419337241354972j
-0.6331620414319581644109597648754083546785550722486085094775757523447610578258615335183849090714170163-0.07748526393264609335623723313573859934389268639279701084677454035395174981132660309216658810591064745j                0.394890204583572881667611625943591859713160991107733558120628338546895152531073972890105566646816959+0.09812145578497655875471251721483822521825297186193005631852629445270977579897664927472914331900071735j
-0.6331305228180832953016632195385790093012908776378683751266576453041821199573662100244845756550098561+0.2798443345807947388091025987504424965476423584334186507118786625081640265191986790467610208474327748j                 0.3225414073269317021741075729626432272554408666122498577915691012832238333969260443378550766318484945-0.3543559797216343991248370665626261530270768140327198836721168883482126437387907129662464937015141441j
-0.6022167218443674795792452764302565428553655757191902542029085049158428839677542111871207829531628354+0.3583323017061800892432812106714513117284251159994013382267219212867800737484950706108129960493870884j                 0.234262941622927397358900612160560127604579292165247392539791500672525231485861287673145124973400205-0.431587408128885242446106311603004729655796348004662805537365594718927400794638463387573282514828543j
-0.4586969111015967390732668206768729026896722042371077724961741910544551933582710371494501288367374232+0.4455182284676976463594050837524130376224621853842763810012253190016229349700493290970586520838881289j                 0.01191636435715050426111618753160608644405837472844233785326382584768937451064677609972769840045052855-0.408715670475176745754092519152879646834292964073930066152570000290430462271903390815082288648513177j
-0.408329404221328059642848036907131970092099709286712116726584837410443552641669423002217786629883079-0.2721677265764255522939908639162962992924143182833235142528073937285247286563899908199643585607941061j                  0.09265763096196478552930172239980646692908095334259783054646414463169847602628403984142202256593371784+0.2222681712824503220782831872615011704979446309464067375238185107341516721284373553559980277980222963j
-0.3823056359997566948802936507667903114184042841879198491024711491780165184873811754642471141129965816-0.3853568987078029395989321269849114727194702064531578207013078895539353170047609615070504457347843543j                 -0.002342340064517432736299423196084126013343910593927016061127099798367500031366748980669273018407538898+0.2946482284947608433593391244748747094985714113972998840220776657022347160116168476358398563602368239j
-0.3652359996679624734913624480957916923902325216030607122681315417596436995175920301112989156932107573+0.2686632785757054579446110015540781315501638048919962398512192719599340795038756844025252346872383603j                 0.06121737819840876872721398666342561736543899597126826548361010066385354761777551685067556728379327959-0.1962510022493401363117593350033488756046936051621438720096533842080515219236242417826304622584228647j
-0.3511986691080278483323809967318142063913955417367888953181551252893070748977374109034470880473488468+0.2767575467442899217092333508389957993643242754106304603060270781862448226957569783748844659344461952j                 0.04674576550333221306667558432448516226762941209353522418696425523636274937540173257192195888085688533-0.1943937641643948522778619071906421291565730597408484444150285294920490285570682091509468883598290605j
