9 poles, Ry

Npts    status    k                                                                                                                                                                                                                   E (Ry)
------  --------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
16      PRE       -0.2768451703825398659161811909652471078383076275477403047302770791839327008661006360491453314197635606-0.001179285471016271385765297780884569176553928672282513598271205032452693494561012957852659619679222015j   0.07664185764991537849996287177378651722611562716672649293006052791367081377223375330710465671054470263+0.0006529589743063068610355889605746623132636139257384324730149668290792465526647983493410570480131820405j
18      PRE       -0.2768440661703261607602783562165105502232192153792925880000015526993261224771446629153231199308405125-0.0011793640604811776123203043557724277997187903951388284522789232499337701109318498383239721331226734j     0.07664124607413277516033609800066098340146433397483568566666415843500942835843327541806026703541100653+0.0006529998839975113584466729129549893188054622826798639531613110347703367478106248914048408020608895276j
20      PRE       -0.2768441234495504065728748858285351922526852158729955928917939124829230949693374969650991850570920427-0.001179337678550950336679545743114784675226032525892073324689550612644504581337196154533735541485396812j   0.07664127785118985536135172526800197184459082809520067865550079769382975606280917166875681461455876979+0.0006529854117389309793077874535685754869093342421293703071160772982966215868754125706632473408273651528j
22      NEW       -0.2768441147963344471491211884488261178173698359184276644642523103603928731542712400059589105031532578-0.001179337361316384283075095013729098897649287673793054688679691495360811376251450063589341766557303773j   0.07664127306075420887957308688772988114503444938567888208066974564175121550193298534492418059216399782+0.0006529852156797584923152722670906986904036262413488841182459070677703931873468660984913900448498651806j
24      REP       -0.276844114937926369879120712536126638885605950860653893960272455387511122511836319280048877943635177-0.00117933734500485501037845511876807767853222630980205893833811896101101313194854727121268169201740021j     0.07664127313919046351213369746386943710071713682938590638861020154443199499118619801382781180459701001+0.0006529852069822260118199360927219338176848797959838354216603177249390933895936966956491875895352639849j
26      REP       -0.2768441149334837663859976192398545547245692621457745248341658083793500338967505467799253974512513544-0.001179337350473623030270365803722026163426368380127641579668387553051808638183946619073515649917115937j   0.07664127313671774720326186755056576728949009959198769272014776732638588905169190872532355358886690876+0.000652985209999739839889991041823783502420952439317612433636571734694413573062549353295736180619731026j
28      REP       -0.2768441149336551636482032264126446681058098735207369712966043723840547343880490680146422079303155726-0.001179337350478204369145430339351306796497018327485859409377928845239926377172199532519629842224699599j   0.07664127313681263704408846295667246040340755121837492901180587099597849212243017229162609469082488533+0.0006529852100026807436883238065542655667016232640427065675534776382999327532228706327180019754861885686j
30      REP       -0.2768441149337298737084608980349132041719507297824416804608082202566434331796887400621344284552421805-0.001179337350482789909371072697085519387582529511420429216327610784018843003095986536723604163010681281j   0.07664127313685399230930809836767904544199305760957208323298444634921964454811465880861543678269491149+0.0006529852100053959200678824544522334697038386224904488234374763774240295917801006033916144166861342695j
32      REP       -0.2768441149337839246548889755399092277572366981775927486036149383838399305038262915768830733272284377-0.001179337350477593282295042923924555762341166875751794817349138420047531479514556048419862674177802217j   0.07664127313688393193931133897629168652767909008893926311869787280794676271958515634338389564561801055+0.0006529852100026460974207768067071797867806987367336557705786465274598531101862926331579046583423770239j
