Npts=24, Emin=0(0.000735), Emax=1196(0.440265), step=52

k                                                                                                                                                                                                                                             E (rydbergs)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-9.34874316550855010925743033703910325927470382615320213244154700083044293199138837294172464935720877e+122-9.34874316550855010925743033703910325927470382615320213244154700083044293199138837294172464935720877e+122j                         0.0+1.747979975492856518824388667826833403974715525645181428798916607807071777670465341756914322865272728e+246j
-26843015618193397390805000992515335713919810631248.13141381431822727389902326442877025315463119578666-3.036023705122933658807484640487386163261024512739025554966904782412652915398620039123366934558651824e-33j                             720547487478574660287755585019959497628973091070434492425526134800343113147390712134940532557008885.9+162992063467640587.7526802011091571769503906758821101568140531916164184709722186983094187216843782569j
-1.219408606321395336098206359418798666257156200195530386890988038994639250875469206768633396406582824-0.1197749202781375862557263590756226026458852079740207564524557858595915175633694369249365663481918349j                                1.472611317643053499273219588455593968596396699107267585067087886959915734760313485538592523880767601+0.2921091372172399741824558817938825961688834619382791540827501935961829802705045742581273772000716258j
-1.093386570020453930874646103731419729697040195521051760118434372698611135321213455015707476963048669-0.0711266733695709636089444867464994249466606681229591666685880081265601748717332637927751457763155222j                                1.190435187836471371350111884022961272976103241523010790129127025908481445651074156100264918018509502+0.1555378988650407166648467400758558759358798809866831036355458744574996628389842840524472742055987098j
-1.040169503412285870874555043577715850342971600296728440359808182736732231198344869681754656189677259-0.1060090273122728659805676894157239033479948625177496217434469336167297258543079743576514525701615647j                                1.070714681957267173513278723218626582275246298463604221690514296980875149581928463513350321679455836+0.2205347145932526339067952217726394238969300121794671090766526360510486405078609303691343741674786225j
-0.9987629077281852173558194175077943898251267068547915670238685879323935783322156154903629046511583581+0.1844046900441951278067108332183017444900026186525157086574873979072889289218634432853409691302015709j                               0.963522256143363740884336828809428032366354735471736128424530446105744271067434136131264222318877262-0.3683531288545101072494635680460131194912682638707628310841607168636385713918451576530001729096057038j
-0.9302091278955433644224513622976796123639716052923111819253567403873018994371213652684495059797365798-0.6500049592874969698508250536174950990830793849830550428536662722721259738326306231580206866696400885j                               0.4427825745218467589384265415478224401240517277919531031861497094267734208244868911010460895307792568+1.209281092613201452943369706853047247073313858207591094090505392586695050630209505150920754087631201j
-0.8641834469888448874294821952793063662578505939335121471252767582853644583978255514296639478786868933-0.2838713642644348423221085546327903155311420372448169022723745481735878994678041895980531440393748542j                               0.6662300786001702269062686710663813054705793116987098620113847376317791496505429198652903048696882922+0.4906338681429306090418100384094667330621210998376259085012650933909619212862295256507890989191723411j
-0.8484391324275139708927880770331828525349756541037267818547180864085579726901954071630334036247570071+0.5048056235807510356220502717723041298390119309271800865104252600045332860497883647642190751715978263j                               0.4650202438356016829196286322497267358511807126748940531588531504618960169625764857021607778160144553-0.8565936906307651944745806908308948213209170165510801144136474386301652836266764135283407948099710518j
-0.8259309802755320936476179801291474501725121548811758667732023113840871405665085949304203812226151371+0.2186418094525842875051376620613639000973088998979881602609905808829478843187720933778288934417841447j                               0.6343577433382012084365443928664266339031256215857181963650685791585002346597647448085577560407455114-0.3611660880207780792581884085318400173412174870943299286612278739918640318130411023015366578038206317j
-0.823485411101634649089451059963009670073830823725121795908431723042743176402192429527767236843381933-0.0001765975956266504594708106856459083551202896849901800242983897678315549921195726340319300766667031148j                             0.6781281911105174414509108765805072553724643709838718178786903590340793192058307462218144545134326924+0.0002908510872683449816644295531640801131767799663897697348688216258578526462282115363781122107373780214j
-0.8136914373264040401883546848603722093927358012049116523567266843191465816401313660734830335160935447-0.1674923202228415362505290838239961698846124803150216501067392774377717085954325324533551953204522092j                               0.6340400778446784222658869605979108269524976248854882508836318690783194760422303437279978807036053565+0.2725741335665165197524754862622518168050843557724298387285564023741715843182959340425161793805516214j
-0.7788112936929125857922277258114080525308070769821121253382246064430276222013236760804585023986575627+0.3173994430919175403763431423471304044057685704712995410943788324030281572346968169274939628521858186j                               0.5058046247085687419905529787840012296772106388330960292227321692798230462708507046178658840281008231-0.4943885417836525726234262475731654951983282467244002222392981962104096223941335210664438744162065803j
-0.7131022965707466537458238059066779970239099077061200259488836755193107010848106407852507402862770664-0.2071871511756960267972387202256490492784792839303428843151444285473990344418395609036116793824870326j                               0.4655883697621723952675314715158635405137642315372274194160086761589372258864138813027273911551498425+0.2954912666466786186796941794355082996157239210387902416869276142663866751018116189911333013291111027j
-0.6852680553848265152623683611571303345001877312856324611540681832878409835353824738992727508313081435+0.3182910676351064335955662415692975807846030365907206062269192604194987852586807887973681745328950435j                               0.368283103994605762181878376945323981810257951327140331219149999180708669618287541381582344078178949-0.4362294019293393557303542825297791601283628371113183914628720508511515498859663057709518592831792928j
-0.6771879526183855524034682575518340991981964094487039093331923387758010970987446856157288521610444831+0.3210979308157846982849219049657840685174216895520049934328709435598289955150780574563342198788087749j                               0.3554796419973023393839567637302516865144890159875280493480090926053754590684286502516714303768793395-0.4348873007182825008552676618310737132462401277877236482705596975876161848607218638096918152803249987j
-0.6145930986847754809827114096294660356876560034747448112869716170707493601122128408848145316929639089+0.3913179370226170200230755227041078073254738933748542877679012094525552617776422783197334945209700166j                               0.224594949115317312818580097249084425050873431672487618323777480285234763390330218761091135293806089-0.4810026069713280378906699184678973877829254903775664110835304158695902533845725319713119336325718414j
-0.5924620262430974989024828968624272532824293212984420061831479460206085168019961763207640413377665862-0.2055193408378632867869495607883255420090128668023522023327844210089299802774751849459817969097268021j                               0.308773053081646929366307904945124884105532875656501749004084421121859306988402437101874160337913694+0.2435248102098925162691732918180736223456546711672234727991093766216099547018791600591698444216489816j
-0.5833187922633872816446476119712935697793995504588173571057447899449967266922156993549052455355514569-0.2830650854271565497640025077658596972449585087334808974987445415374109905667607182918670486043961745j                               0.260134970819733330666641179085517110987911394280774787758729772335724648997479887135845757821404954+0.330234367526603011964789092943400782537733002386310782780767287644210244340113575448088795301455732j
-0.5480311326687579131300750063671925670439099064068843461929110770965576045104942926642064948164322713+0.001115083347603947648635322657895259175652936069366223976298792506001847637589363172550703705139218792j                             0.3003368789633296331541622134788265752599016557111546663272294298695989718919675263397940745316761221-0.001222200780014923460120136369987474390273294841050009539919428470431939039189266102637474522607774885j
-0.5480311326687501755098613774233217528427994191453627845321991763492991721429409004230851311134851768-0.001115083347603856592766252288838934556225405913981097033940625495249522616735827177140731370079972027j                             0.3003368789633211524436923086492685257092269065537037408290540676211409444044232806725810910737018646+0.001222200780014806401035110223776876465898251370140842253808787994776360863157415408725905922472159251j
-0.5440648969410259534393766773166177752209398980143183033251160065133587622778267976182387907895443427+0.3644796471226131691807014029725627228515010545333808600089490803803140476621779987322980378896998783j                               0.1631611989168245736120198311524462119077786555793183229980293596324155891135485804730512942798435587-0.3966011632977320811626666713924166328374040772895650063532571202511706848394447273422437287429083215j
-0.5426309432177211564688742054664081532712280081018968963243010317099095223072964864868899821470303167-0.8851788027035923262082933388864926789829482671582227235160509815233558080402163543869616663887658593j                               -0.4890931722184115073750287393640790464158780313453168020108188422975130077239875882938773801158693409+0.9606508172547668121286587666574962563348276569245749820344975416445791585379152501390045108556480372j
-0.5196997058736893181992685589905590414319911699892176293901102495433749275314299514187403149427583803+0.353086795852467911248116060429161030899640301921073958094316389740444558930425654616408839508957055j                                0.1454174988798368366503699885441965437016388943626552166387193986410623824904986235388707058369538137-0.3669982079048219178622382268283263804696745503779902329305967521623253678050660152289129527081171711j
-0.465546592277834239947758848143474878274426950278603157822882902658107072863185344538009688335982984+0.4256805162282023951892471361720519878499953918107415266426729494086263558015046339824450898209942013j                                0.0355297276851951484491050341448373173815684524862265247693134305682633459655551934158565845997237783-0.3963482274582178841068468756672026701534407428445426149458117513440273603823896317685233865078260683j
-0.4617065579785636758563581917376730557854482356275185941429031560630236890003204984566414388711165629-0.2526738950970091834600044056525522053145188993867326378258389150353442474130854629943108485266906117j                               0.149328848416918379646764640775043854571998009995711401732759067088210733077336340420603757694141719+0.2333223887925535733435462586372632437233898536098663367873001579047883603438923791727778423594981045j
-0.4530659096266724043959997443234236101944587240555788396903460086984145518446677511518145407074654687-0.0481865692332663888048506411328970100834032133154836533872846967581130476974317523532495420483493286j                               0.2029467730113717115450320086294375471500844783256575641791215467825554022738676735619823673389475607+0.04366338364291692536804486615007930450269332324637459429884353209268481603610472634845206430464473333j
-0.4530659096243533803838514389899162968812291546418357932451431849452560291204878302046307873145044103+0.04818656923659524434110494306085927689876035910461802451020034291559614152070376140066321548782162996j                              0.2029467730089495578424756504556777405369166417020745022039352191068093734739233396040149792033060072-0.04366338364570981566889712306002102337274082962526555605134723259256208973541503511423766528772158286j
-0.451964651562221222925212486479163177244584895518203324097583511639062190257510529076493675180029749-0.4720669268162590019814211208239104435394576760474308565213783796056292711773010704574025355952418797j                                -0.01857513713198719351220708894102574729040972607268451417749339255169265929046867711767464706242260116+0.4267151281851181717066504521279013297685398585939633565230387960708315687035174256042357967203658483j
-0.4516020428400158804343576373940336951138411001069455632107707702127193707860418434167687557910122742+0.00000000000002600024141992428354464227185415657183446533040224831864364275074715557063486022216707167348606345673j                  0.2039444050972755385387941907167788229752926018451122273296760053954866020587364936157864907837487606-0.0000000000000234835242791428032440219962776224780496926057993362655150036625310166228247610916195640750459253008j
-0.4020764714988556204283381435879426163252908359414803424425123124696266595666950581377976927528972281+0.3845564545895517544870611703561826619782897807066178945180480187111555550717672717461771606265385863j                               0.01378182216648407539192341204470557745896504076103259452855049566289022855192577226710260578191373778-0.3092422047069537433200177088166479472622288218694492243348093686477800339542029484469641720858748998j
-0.4007858218541424591695809788919754977631777195239920818593848311299883391494932290373286089680383452+0.3667168712584020011800271090372839852227265677117271797216109523959036011524507342834305422199513152j                               0.02614801133374902749551102980216750776544795347143713339239389991423947462540815938068131447148324754-0.2939498452701567988532124988007920081670872765633623233734712281930019514543264555245806042439078871j
-0.3815189598151347999323309505320982677476547110657011712646277358469143707255782321924817234751748544-0.821580750586288063215424553542644753875849346599255395950763038739441376994941038491820145664758838j                                -0.5294382130355060314347284341631616650407533952030516620740100471389813237255289235201397084448441781+0.6268972667356366446189663662176453538205047741771196770073583789802927952479493062901535401565637019j
-0.3602759395456458216679085913572583123188342343491812835848923563868715756659188992756114778716470022-0.2479146624975014870104203302303818621759155995054494810457624819968728830890460349205221939331894943j                               0.06833707273424777258251476766688771913277181892175510061689283133778932250464247037546000632071821632+0.1786353759168580662170938591849577630002596365542967665227299885907583394301342619625465460112684103j
-0.3500762531924763640250608488022875986988193727745430932053743835998296282093149993448135870078259751-0.3172274632014927063040962813783570835595724878877859842160787248011576812994912115869592623908923806j                               0.02192011964002840854665730040718697609200082804781658377268895753170062318370021900101555023983156476+0.2221076034546654786313692194186542308664187749607647505434565789134606913198108907038223183729891899j
-0.3206126382379958659930205012589205542159621581960330778161931730429915074062231775998712940069627045+0.442268645512117175780849441444107366085831973904843614355470796808423176912637306072787990902022392j                                -0.09280909100519475517503458333956040963670015428071027109629148782883676794532348435778693170783174958-0.2835938344951697159648487531821770954404239358491440428391635217887863277365880477843239371089952365j
-0.276844114937926369879120712536126638885605950860653893960272455387511122511836319280048877943635177-0.00117933734500485501037845511876807767853222630980205893833811896101101313194854727121268169201740021j                               0.07664127313919046351213369746386943710071713682938590638861020154443199499118619801382781180459701001+0.0006529852069822260118199360927219338176848797959838354216603177249390933895936966956491875895352639849j
-0.262388693919188949241435818629599696467105096691422317230223155722065974355636773660984759862578372+0.3914827113286002786807211048947159967522888020140986414911970377362969720596036034715468317779629702j                                -0.08441088657257435310663085011245884429754449579264302077952173742412031037756476207041548365879279345-0.205441274634908605429589215402870886534463956616843441558013984711710055088317734514747151196675744j
-0.2546624009231016525297973778577043685973595731920970691418207463679746840064977939609778021254884372-0.3338291948681735327234090505892196860191334209956298957541415515546486868273710614901902562664437532j                               -0.04658899290241441270957661508131059160324852947485951136101035222692322941445595164307278131042363836+0.1700274885267100738106492547558680205219933970614843573809822716721314054684056429644665993503690417j
-0.2498320375588937313349969379938822434010632189319673256907759829331586506601807571937707064873078067+0.3903040303206925543482114631432434349084720600957247572126775287918274260678037124852928892450951557j                               -0.08992118909374760476477739738728499582364626868242840956606216780077404696098560335117852106026521358-0.195020902324933719929133040783044973264240363362729620817172181954884899716735801366356329497429247j
-0.1680262503102077913666370114965454003640010300662318126940985602617976820695742441277252795816626656+0.4469266913571426423747856812062651850941881767490375378047510155109977269913176938317274525336012821j                               -0.1715106466541340359662039015433282170046949275713949325275431828186228861990562551836641801191917126-0.150190832224576461484048420413982361233164301435907684701274960161627687565662624188096490751958834j
-0.1666457820027365373481019077988891839639199494362398250464232572161112314954522310814597501509603685-0.2857887854010062534861244456575373184494357624064295025091517027070276090516584689587415746245006106j                               -0.05390441320167881627050826878317699658150592481809850768308450080347944228333007285755903137686759629+0.09525099126152588476800793854286115054366126531422624344528125225243948099092741689647651502960940027j
-0.1553560468202662819430527837217946695920236768873396275925620837947140582567621532312680636047215488-0.3791341015378503736483287645284793557858997793984526512901524102294419172486585005558440578417236468j                               -0.119607165665292267928204928428236154929683570267808099047667826804820597942047906385371968669281784+0.1178015504593477464317986559026319858197057259355275454959811680702111490881954868543331903004919044j
-0.09241968948830557328724507220854654722256721393814707111820827415869363119546775164414455193313050117+0.394911048198125323692962091912085355606055957829048776482130077696522129895293282082895223142338608j                               -0.1474133369838272427903172963870110110419340477260521023914032660142374218423374489620014714988022041-0.07299511289994403717316068858125997739189533039622779259162788897112209301347435360730669841210834594j
-0.0859228074872537941250088256861208807314600241894671970408256973127547698113693625209278245247548159+0.3891007875546522876765172633058941940496512516594385575065169013029960473773109925945736855289460183j                               -0.1440166940291589759375477030729464700785266083318959065373836221655838495868522194568237392037162088-0.06686526412439445099834242658822978173269762379296898739975960026501580020929078485782204368637229161j
-0.08125865827352017201046049015099721660238185438066656845164017240501373062991064603565633735155244855-0.3758274893514297372702324703912476341282482235177751392792794555706369251683703755993720408097758084j                              -0.134643332207786304258093580544627116396749652659216515497549097394850342596700209779409975158791556+0.06107847505400574073106848765384191108696100135930783834771258057902940130081664942251335899641316395j
-0.02686394149462805875365931468944052931966441493193550105619693909857154137463271943756607581639883848+0.000000000000000001917439561967899324698458887149770458565299245212319047597882133141466755342987784014366243197788722j             0.0007216713526267992192625912342485747336300430313249249675276907964817358918914963228242592757039237699-0.0000000000000000001030199684243817993325762597631505766421820591316292125708327806120567092832002581270203204738785855j
-0.02470752410386506804719694206201593829978069094059461662404521005603327043827544682166437950857694825+0.000000000000000008458137249022322156098579294163312459256883135527617170859183601593051966346697373195284945473847172j             0.0006104617473430733338634555178965162233172205705932681668787454719861413038731397011713994586733471441-0.0000000000000000004179592599080360042595440644644281377427952543643235735380242109978428360850071603816347585491400289j
-0.005846871639431538112432865170257815623234353586332414411651831971266521620654913440563425267931020476-0.00000000000000000000000498841918545699262475791360806122355295277562306816053166704461799311074621636717429278645656936409j       0.00003418590796798884222264885045346477715199468285473553413195725225454781459733487360420842156412677488+0.00000000000000000000000005833329332208932886249043138060295860867525678319464823547003624363165850882432821383135799660401002j
-0.0003910151564651223461714141155222946078131516195204059963934381958278199016536952093325294441221375791-0.000000000000000000000000005034233788571525953099849703687943322064384260179829707329302045847747116667803859083031391362036904j  0.0000001528928525854441097109417831511048822319087642702014649462159891864672433056249467412927561487367286+0.000000000000000000000000000003936923425040601737250362575540442795029456688576667243112888924841302567870115066792932688991222169j
-2.863680301489735208204667467090456821296128052665479711475193459596955992560031167904886805023681866e-85-0.001966826396302014212336711469211736184214575976079726378509439452333774373859116375075423427002057277j                          -0.000003868406073190367865673198499416532322407157258555770852378925310731562575949920513015812673953547886+1.126472401508024296237214910267575349168467463142200457117555733454740172993753984551617938391171424e-87j
-1.241121832337439322297483149240599776721865928240673514498056146534423411218976157342119408775697943e-85+0.4456109916723924527753280252732465739548893608063144188422506639809546788055240167821991616817264659j                            -0.1985691558992530158963808539333906318515120892268835219978949850235434419635524448690096687002444962-1.106115060988286271699460239298855567894088419242625528050899943224634091385808662250040577010754573e-85j
-4.445484110453419972357696998629215658540596059542512510570180862283414692770214241637062161024717516e-88-0.3069259623593135966270404539102833533204025545360469116836933658540959289543373488189166190673148729j                            -0.09420354637019078673797495377972029687803297351746627044454383418861419803306717173581118621540208439+2.728868977507906131362554909289028164442860525018084009406335640028118938274336321982506528844373841e-88j
7.791282456432084954380005238933494107306980431167918902926558928874338636274922960299626822469733893e-87-0.4163727328974264478835367370809787162200582457688109227375304671523922315498487898806878441811078777j                             -0.1733662527004716285540218474424079058985456569114532822476425240109098314681380725221839720986457107-6.488155138320802248488921448305467901824432216244874612596851675260974490639522189512535885059872348e-87j
2.86368030148973520822474518783167311077161284944556669830144498410800468152993171975127731804165703e-85+0.001966826396302014212336729083206804047184052081582795996486541622885518462860030237028215338682390264j                            -0.00000386840607319036786567326778675741993516020339876627663089879942980204188011888498569844190894319509+1.12647240150802429624512287666399755253609420369538270591275968751214359423480849368544254638677678e-87j
0.0003910151564651223461714141155222946078131516195204059963934381958278199016536952093325294441221375791-0.000000000000000000000000005034233788571525953099849703687943322064384260179829707329303418246127337596709691303176114559368944j   0.0000001528928525854441097109417831511048822319087642702014649462159891864672433056249467412927561487367286-0.000000000000000000000000000003936923425040601737250362575540442795029456688576667243112889998098437317004085204996483058949630849j
0.005846871639431538112432865170257815623234353586332414411651831971266521620654913440563425267931020476-0.000000000000000000000004988419185456992624757913608061223552952775623068160531667043857185711593499413680470702354849799097j       0.00003418590796798884222264885045346477715199468285473553413195725225454781459733487360420842156412677487-0.00000000000000000000000005833329332208932886249043138060295860867525678319464823547002734694524815744277994816895120664517935j
0.02470752410386506804719694206201593829978069094059461662404521005603327043827544682166437950857694626+0.00000000000000000845813724902232215609857929416331245925688313552761717085918360158978674728547271087662754617083005j               0.0006104617473430733338634555178965162233172205705932681668787454719861413038731397011713994586733471012+0.0000000000000000004179592599080360042595440644644281377427952543643235735380242109976814851276879443544083037273126399j
0.02686394149462805875365931468944052931966441493193550105619693909857154137463271943756607581639883736+0.00000000000000000191743956196789932469845888714977045856529924521231904759788213314332984133071809681858877553275405j               0.0007216713526267992192625912342485747336300430313249249675276907964817358918914963228242592757039237023+0.0000000000000000001030199684243817993325762597631505766421820591316292125708327806121568089491479550319930549105236875j
0.08125865827352017201046049015099721660238185438066656845164017240501373062991064603561275983430248768-0.3758274893514297372702324703912476341282482235177751392792794555706369251683703755993367600638300391j                               -0.1346433322077863042580935805446271163967496526592165154975490973948503425967002097793905383116143137-0.06107847505400574073106848765384191108696100135930783834771258057902940130081664942247487000645583681j
0.08592280748725379412500882568612088073146002418946719704082569731275476981136936252095935870414446511+0.3891007875546522876765172633058941940496512516594385575065169013029960473773109925946071779398847022j                               -0.14401669402915897593754770307294647007852660833189590653738362216558384958685221945684438404021297+0.06686526412439445099834242658822978173269762379296898739975960026501580020929078485785233915839783305j
0.09241968948830557328724507220854654722256721393814707111820827415869363119546775164414861935140295758+0.3949110481981253236929620919120853556060559578290487764821300776965221298952932820829000246802082905j                               -0.1474133369838272427903172963870110110419340477260521023914032660142374218423374489620045120404408438+0.07299511289994403717316068858125997739189533039622779259162788897112209301347435360731079846221318267j
0.1553560468202662819430527837217946695920236768873396275925620837947140582567621532312676808259415609-0.3791341015378503736483287645284793557858997793984526512901524102294419172486585005558544565485224464j                                -0.119607165665292267928204928428236154929683570267808099047667826804820597942047906385379972611996552-0.1178015504593477464317986559026319858197057259355275454959811680702111490881954868543361310554748365j
0.1666457820027365373481019077988891839639199494362398250464232572161112314954522310814596665642691897-0.2857887854010062534861244456575373184494357624064295025091517027070276090516584689587414442829195772j                                -0.05390441320167881627050826878317699658150592481809850768308450080347944228333007285755898473528236776-0.0952509912615258847680079385428611505436612653142262434452812522524394809909274168964764238115821074j
0.1680262503102077913666370114965454003640010300662318126940985602617976820695742441275655882710720942+0.4469266913571426423747856812062651850941881767490375378047510155109977269913176938316053008498295259j                                -0.1715106466541340359662039015433282170046949275713949325275431828186228861990562551836086590876993955+0.1501908322245764614840484204139823612331643014359076847012749601616276875656626241879127007550108812j
0.2498320375588937313349969379938822434010632189319673256907759829331586506601807571937478146889178712+0.3903040303206925543482114631432434349084720600957247572126775287918274260678037124853235797513651864j                                -0.08992118909374760476477739738728499582364626868242840956606216780077404696098560335121391652611505453+0.1950209023249337199291330407830449732642403633627296208171721819548848997167358013663537949185137975j
0.2546624009231016525297973778577043685973595731920970691418207463679746840064977939609767734104273358-0.3338291948681735327234090505892196860191334209956298957541415515546486868273710614901834847493333547j                                -0.04658899290241441270957661508131059160324852947485951136101035222692322941445595164306878420030828922-0.1700274885267100738106492547558680205219933970614843573809822716721314054684056429644624636185173973j
0.2623886939191889492414358186295996964671050966914223172302231557220659743556367736609850742154470289+0.3914827113286002786807211048947159967522888020140986414911970377362969720596036034715579274705841876j                                -0.08441088657257435310663085011245884429754449579264302077952173742412031037756476207042400623717836605+0.2054412746349086054295892154028708865344639566168434415580139847117100550883177345147532200926924355j
0.2768441149379263698791207125361266388856059508606538939602724553875111225118363192800488779436325772-0.00117933734500485501037845511876807767853222630980205893833811896101101313194854727121268169201545192j                               0.07664127313919046351213369746386943710071713682938590638861020154443199499118619801382781180459557514-0.0006529852069822260118199360927219338176848797959838354216603177249390933895936966956491875895341791076j
0.3206126382379958659930205012589205542159621581960330778161931730429915074062231775997908793002858493+0.4422686455121171757808494414441073660858319739048436143554707968084231769126373060726917059714463628j                                -0.09280909100519475517503458333956040963670015428071027109629148782883676794532348435775332803869517446+0.2835938344951697159648487531821770954404239358491440428391635217887863277365880477841910669709636967j
0.3500762531924763640250608488022875986988193727745430932053743835998296282093149993448165572837107826-0.3172274632014927063040962813783570835595724878877859842160787248011576812994912115869598109046836282j                                0.0219201196400284085466573004071869760920008280478165837726889575317006231837002190010172818786599104-0.2221076034546654786313692194186542308664187749607647505434565789134606913198108907038245869224628107j
0.3602759395456458216679085913572583123188342343491812835848923563868715756659188992756115012629812394-0.2479146624975014870104203302303818621759155995054494810457624819968728830890460349205222472188493544j                                0.06833707273424777258251476766688771913277181892175510061689283133778932250464247037545999675479529505-0.1786353759168580662170938591849577630002596365542967665227299885907583394301342619625465960044602166j
0.381518959815134799932330950532098267747654711065701171264627735846914370725578232192899260658273596-0.8215807505862880632154245535426447538758493465992553959507630387394413769949410384920550387367225544j                                 -0.5294382130355060314347284341631616650407533952030516620740100471389813237255289235202070789940271694-0.6268972667356366446189663662176453538205047741771196770073583789802927952479493062910188535021063563j
