Npts=28, Emin=0(0.000735), Emax=1188(0.437325), step=44

k                                                                                                                                                                                                                                  E (rydbergs)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-2119498617931936253464431049360263813784175487066221744807733811.156363437717599788947078291008757051-2119498617931936253464431049360263813784175487066221744807733811.156363437717599117450383614139615352j                      2846472632626975043142245711764774093452740313535.533559553698876452403438453841436468982841140599185+8.984548782830775781137102632286392098384863547346442124654734752770815854516118242564971797169543143e+126j
-2119498617931936253464431049360263813784175487066221744807733811.156363437717599117450383614139615352+2119498617931936253464431049360263813784175487066221744807733811.156363437717599788947078291008757051j                      -2846472632626975043142245711764774093452740313535.533559553698876452403438453841436468982841140599185-8.984548782830775781137102632286392098384863547346442124654734752770815854516118242564971797169543143e+126j
-1.167890952432820258302555447824204373063569844701250753608881698194840401635641021837197507668466089-1.067053383643295775967493213274649963647099743290350389888213066989873837885559701880711725246083697j                      0.2253663532298334737697712300953528433457614460881088503880666905070589358958867749976098519681184335+2.492403985039664506686722883939921005670999937077027960792461070899241933571718575770682599234239601j
-1.051761823845760774446656637515519963008813880723534479396375042376880033732163076792387204636864651-0.1071221719085956004661227893949557178723515356059887426871515137044450416038403613964753222163237079j                     1.094727774384946409231620754757834240168377753765971748611047556822018526425816212404566761537168382+0.2253340218018072583797013122543185287367038298995334080123734963736644528185969195190513833376955276j
-1.034309797239196133431576038789438784721186713892995714469691952920942479888012374658908058969585638+0.3386347033484811443844499783369441975129843365264062494635479417948573577365437797496530144182776175j                     0.9551232943530731907019156619328825014960016300829672155704296191752028221093927936797993430600015362-0.700506382717045728786627224156576889934209918612708755455512909176750222824728523450552991513534922j
-0.9883345961956622132938736705783746714488494116068622815786292996966763883400492061805304339753140791-0.4150860668066106972053746369357388465128646989593560838808812828239539548040452257147268273670435294j                    0.804508831180260606251203507633478516691319021896929550188700308417991283897271650777945273378585362+0.8204878404475145041811648578552115622959743006044949990139296871190121677338944379347825407075966697j
-0.9823320289278159232980213148140997990351068136711019489474423405451201355341068905246557118482154978-0.05311998548044189374483564311904868490675141340342005762678834915066208539750361627394723311205284053j                   0.9621544821999970223398989010174595878299604926460483043547679250553805928518764826162323268869235901+0.1043629262272372163852771876806782655156813958536785105300682364485899246618768302228941964955977234j
-0.9529796597038818842004140769559247500141127175892801039879391108686422107341387498342883863311810944+0.1622588702646492014990947212621295630682575561696777903182013303424940077961002505627517763773580425j                    0.8818422908297662566252958654940143117182246143311949737042252481770650523659421940900899502295707571-0.3092588059374834302586827930787270250018714261973689320844835687881894499909224726556942889527869604j
-0.8645472399840920171511540374350846747305352459604232443812440898599496832174578681746462362358692383-0.2670331154976197674518298352646819071993564011201283333375636919214728557085326530778954076350426205j                    0.676135245391746056244277935996894524488775023462966325172737860933659572281861023908999138969481287+0.4617254859756408765970225575259645158975299514585470260844027872947184880671979843564007592585780723j
