Npts=2, Emin=0(0.000735), Emax=1199(0.4413675), step=1199

k                                                                                                                                                                                                                              E (Ry)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-4159480417040776917165964446678232108137330037509205821272403342601046.40584436106447452859749186816-4159480417040776917165964446678232108137330037509205821272403342601046.405844361064474528535561592837j                   515195534855921374887792437670016467339775424117898.321587070042153992513509030209823610194713297074+3.460255467949143093167316653345250846783508773138509550665002786573165612471234627990105583907812396e+139j
-4159480417040776917165964446678232108137330037509205821272403342601046.405844361064474528535561592837+4159480417040776917165964446678232108137330037509205821272403342601046.40584436106447452859749186816j                   -515195534855921374887792437670016467339775424117898.321587070042153992513509030209823610194713297074-3.460255467949143093167316653345250846783508773138509550665002786573165612471234627990105583907812396e+139j
-0.9131221964917988000428392850561899784831020078534009198277618989492098899256251396658380819293546789+0.1330788161718462059299218841987721539145754526979000260168035989933889006039772906543191317268882474j                0.8160821744123071815444071786789004379099706768233826039393749040908401721396771038273192364276361255-0.2430344418587290460748681044197100416761511599893812535367730004348173140089706455845909484296917755j
-0.8927205025977827297085996535218643099337905006986955064813074678915739061350471338291053353700049393-0.1300140294352568826574150370370970698994373894995275458452582306929088751948928430246723336185655876j                0.780046247908445958344136919474589072406578302226124148121185593055965184139948427829825710105194675+0.2321323794044108844022094604557854331177493372503115437363079054840016266681291809439322203606533362j
-0.8373527450965310702060188093287290567332108328188564822146049329478249898315024576019518785588359056-0.3835250846635319730968393127146736694495627622872853529063884251247083848741451030230527532793646671j                0.5540681291545267703613366241326254346004255433114403784286887271581515602246000590116262439959877837+0.6422915649127759718826585239157507470260492776174024062156418923952539895444183989229548722047764678j
-0.8177360921844196606009289189659629369727108935289614313857754150327762296501593249106789271901983091+0.1817837629789657825181802592432630726507932045884874684530155449047393911279120143477655259041923172j                0.6356469799782528785403192975659999617077909645119300962325610817401562159412748396169011983067774152-0.2973022879219965141389584421625686232290249350525999835905415656780791190275652015035572029871889502j
-0.8168278341466277437557501476625325192390731171930396904548862533380140554764639027659243280547814812+0.3794934087148608523559619881798067274777350056057816457331958161635185951148777300440476111930283235j                0.5231924633786463739704088053029214996976609959555098435546852675610543599186630540524695910989330941-0.6199615582269615518627060096089399300558157215921653238943510698366953727106457027913056596385267382j
-0.69571390407535616632634313340981339238692810429005966223853505609278997460719688074724336383846848+0.6031615779537702844197804009163557593712602556163039555173318002838263955482545547792680560320827399j                  0.1202139472040917737340012819166801346265948895565858673548995792273006227685961284800562275545236493-0.8392557923729396005656393814492960891572058462905228824482230707953926911834290647458966705659430697j
-0.6732893858130371537718271968717017179419453154313634444870457679680238556450648588530138555683220018-0.5202130813553151409293104999420148369328229751441900254075824952535296318542117504765041442221649154j                0.1826969470353050666475768546948502292725217656422175707663027576595105448469375682936864306578840479+0.7005078920752553214749624058748509799567076063377157981748912491822810515532365769995303487386831647j
