Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-6455770231375039942293781.439593759269486550514838580027861050941289172632056996158424824390032153124+1.200896765842721524820138966383995182424526334362523308195401252416016921538340336769980190342117223e-53j                 41676969280308136750932959106615154562881306431375.43560465455420121321264335156614732968572379291206-0.0000000000000000000000000001550542718376400700343844762185673331116347019911739951149472449889545863331673366812506895074962533j
-1.698937150353989594880670970073293691786177360982750597410177613597044796225135392646904419808487865+0.004423372657994668698327086252028100943184463675039281230190966757717782602584561065579201220495713285j                  2.886367874627263152217456192256136471610484855949527106692766937214378570696821922061967754216821879-0.0150300642770544300974795984024439314550387031335879228196404827928373286625680012680852477895106059j
-1.181690059092414068005163917099583827928819453957633152866808598212617401594061556831040456408060525-1.115335357003298507395122375693623986010961189866014548160921104482627016253721186098244658300598602j                     0.1524184371761577191092218929125115670504236898817907319285858718172706306355599722544632607355705387+2.635961407850173107858041400508259605083874419446586563839997845456611366210504265988850196048023264j
-1.05538795462504962189260815507931236180348670840785148710881908291211031157085602037031109855841594-0.1423360345201705119710902693251394626806579626198435309803987099366695488482252702821954596072539982j                     1.093584188044718627960107302146102201949096450496020173126649143927903122558263314933938655161872466+0.3004394726833664258376545340592571042502458907921278780872595671124291513790811297785467119727153596j
-1.009297322704588507618585224648133714386930623481902587901830342087253415984584638059396879331132657-0.06163319044760245289856967830591375426380589742592009881344168725127046321852546546736462391946334194j                   1.014882435453899837950999147137093821121215058838487216451258503760105272682520036923366771760969455+0.1244124282170143494168115378414253065159845558429780431027568131940303181190982873060903579120749057j
-0.9586996381764612798356054833654903558863096064723189272899392054617805748428296721638623702752766441+0.1793280404618757713606931992602051366814651928565337332508245095798244485511972925725263085303672173j                   0.8869464501437816204134302190084817036741383539513160753455333322691416091373768475212793649006966518-0.3438434550113882206695623616887438819059479330334299730537930612860019088396392194093253288507575772j
-0.8550562494512987724234981848365305767653323568970801498236775921005088524567891422963613919984173666-0.271181668826098720695211774590281757524928395088314382719416554320823611851977200708912739760062104j                    0.6575816922184137895531261831326906700764012815710415647985603488130503413344898020110741385668729784+0.4637511613327763193326408619022277388907097484863958776208637367368101819017980299908325306411485052j
-0.8533344087147152619750385218187661770960806422221863364282006915061956765458662022532957001251509784+0.3016129456083943487894931882177453278460912659538693970177786808046105809499223249657609085340710066j                   0.6372092441379204665532305865362933524106691301563702303697457474842121544172044213304301439872886146-0.5147534092028855337807885956424853839480338130650564302334695535833965697177169510826045458782607093j
-0.8238688964250075977840501896984878393838022048365149756742077745007660665550341987562424596312016702-0.1704051612157959533540252130357539532663914858885858923398318981607603386756683958007487562447517353j                   0.6497220395275784875410962042303299540051657474427139329755663714871076876289916431429642247700062194+0.2807830242319666361387549699481919679301697340972369680471527161458192125074438530498784716315534637j
-0.797791960782400847011659098831082130288336555198712501240522023004390267866111139767105806007497613+0.2910365901751537380231223226750844615245235406516989000822912840888253709226916486658643300833881352j                    0.5517697158682474177876498401891819441046733300357694325457313916499262913972127356365132111265987646-0.4643733038705198372464373409590567010441717020072857551630975109159927808264221405020469126226006073j
-0.71355823508876910484110046385156252213164076756657299833863656241703143736599619587878316246266766-0.2071984995531421844490547205184727040350188667253075854567267226888227908507270273643583692232199183j                     0.4662341366459256145449543225238386303915295710153385413335954644100856568620503600529008455039007608+0.2956963913083625023385270399464413001611948091842471984687322185628296853001427016977661500095038581j
-0.710745531803203586005524041361094993884221657276701740929876402633497922908844794920364775248473364+0.4029298559995438707615836419092430991268991417094681954904368167773426132467072189182117290104997517j                    0.3428067421224055202950414856062721917130519923223517372101247296848853107799643652812404258624258139-0.5727611895635680988595203850397698054575776138781629445844111543181278381730971902696068315083631682j
-0.684690423180957843319334102216579364618578521237302100160731256536612112418231888036700848778711385+0.3237832037123184722055048395483683103520180029689787627566922281088960277009977638345021622925540926j                    0.3639654125895064111267836539016464947838343309331494455701765129658363105368569659680093630776486692-0.4433825175373472305838132268971281641187817307813907462394414230662796398592589933468133978670115501j
-0.6590598305687005726826702626853954126711701335801569962417858416038016791805554767437625578012575207-0.6967492854179172466512914173691749124373728901825811640556835656411549430353039194157111371276495268j                   -0.05109970646113400493185974789323353943138872646485983058255915024384777479109884840488993739714500789+0.9183989319927914743309580114663061778017847989431608577694733409114279990272520764959055664468196158j
-0.6525913841872992558767663313450971558820706250899651487055025067537502607468220695350681654383824529+0.3621619154731210460070702216982890230241739553072261857061201923488784728886976006182803138392121366j                   0.2947142616963351439433683242519113892772766623091406647403672506055090684371121489189299366318367256-0.4726874914370554709766030963749995136984120263767740239426844732473226731975171761550607074202900693j
-0.617203371853433569836983331842477846300324789859776926214732446033933699321386293057846688951295953-0.000000000000001083303466837870797172737077671419291869177985848370217752975233479249506285889810658099045979878958j      0.3809400022272477941842489238915014949337132536838396791373325966103202359427433438566068751321468581+0.000000000000001337237104945696222795389514995922478776693375074883355170032463541582356849669694655452123045030132j
-0.5936602531164304540367620461427232375287215609103676010921302465046599301065452337498986917366717364+0.000000000000001496036515548844868703135770376519806632202334113003747381326963896586913562215931648626733072782298j     0.3524324961302642746142941058527419367907882227988431976895756221180139599609446711682040074468289264-0.000000000000001776274832984299778745965587979113335807619276259534281352163090328414158250672589623560037535343065j
-0.5924142036023528860680823489348358744305772860657654259280908702175966003185883859227000510592729754-0.2055169156462935775448729285213755038208418861325572580185783625276760526087581887017452427912511948j                   0.308717386013044269312008111270537694241310106378728262195209841762937525437415308488159665242495024+0.2435022798188218938412403173734556607258456394362624006740082703300713535837610879612451043055300995j
-0.5875497602565866449403966925773983321662447661422028053378326906868269093092552538219937864170303689+0.000000000000000344713552688737397146995019659381183749729892168175165093606199454902987938918018917052134198841862j     0.3452147207775724433737072884189387151825621299765866751124872923382910812453866702122530849612623063-0.0000000000000004050727304789278126932587973768014147421732114859365912200144216553905307348099618764891607165332828j
-0.5822220588725445902171623215932886741828178953397729471533434386513437346218454754943911722329746876-0.2823131093965601844812736487159457417628898188974462535230282523326172710678435564235975185207034506j                   0.2592818341006306204570360775000736694302082360625245203040636681068198866059620133813655922827671001+0.32873783959915037016180266009576271027728149836910980230421282642104613795464743355236009443819306j
