Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-3243373533982912835887141497608283938567404593864.193879780095255306821833676323777932425510415094878+0.00000000000000000000000000001326991508285955220285963302285970860025734315790418256859332467637890120107367264026411671598656087j  10519471880940809044290772259689084610504664200346657085106342488820442659636643772032027346351969.3-86078582755894686874.12363072544399648155431557728517364901928948452019112637343851102124208347769053j
-1.341982211634629462224351848284224582755361748884250866431400775510292729047446467047316118936584071-0.1131179640269865239146929242187889076564354426349459103306251369619571898434451663166902420113055868j                              1.788120582558160801883844878109300876903007224726237252092558041847484461583905379670251151628576522+0.3036045910810836634172080425720406901405973099230516995671567018515306139136110619678308906108757772j
-1.046048359972801969132531040909928629914519049896702045160861101573402037081964476663806344434231875-0.1195404048167060426351340426066401625622278682961324647948554570584910682791948090900306367482302082j                              1.079927263018046731593750112697471955590081706023592894346599170793728024519560350475745655177306129+0.2500900888180003857609150753290413355147841958891187986451935025652407797221392554125776776290708277j
-1.019367031935304839071003108215775474363997885063496665702200096741293257798866571935785538683470886-0.06618656606492693622315274333124247343996335979205791983531606134714722500843226017679860535357536576j                             1.034728484269125857739039128620534504252186706267334786845086332262194812140094657751281373282895096+0.1349368068071890794634807379455428286387463859043068226509494317524461492927037695691442673802374099j
-0.9628555954148593146279019868152704597160394055168127133756816412124496897051548260158488047229668871+0.1873848833267423479666466772797545623069901043623645202774869436625764571408106818972246550197003978j                             0.8919778031223264072302784801633630066688164431992832806325831136439710485257090086576345436007155067-0.3608491668146288942633686709583451262658200905757347596901165912638157342389569163086513026887391296j
-0.925200769403332893480985726725083124414552573354348556152373383320451524592052319743727447549021021-0.6973117586849129659737401284148844730695701725799048667423502291415604858032521263091096849863797562j                              0.3697527749042728743564919929326823016308514315585682347028112540780682485534315270190404311956425662+1.290306751298545348211352051280035380835697749169419675188588122563810748761713610257969186693902483j
-0.8509657142537897796011377936612697012064997549941788664871316090211297593498484618047073283388367992-0.2757157124896793257177470195895017385900020304351592688680062482813503327271017546798290044424880128j                             0.6481234927217710859490960647013059710095412417104983494472710737455236558731371462730212262528135752+0.4692492364195450298915350918698383566373855454327173816164017274827981438756695285558700730066999035j
-0.8438789244261483463658534374954621587471312422994048156288802635849333553949102690559588180174057656+0.2353530303024006542154334136371679525324645604269012564596310408372315830687258076311542467134324618j                             0.6567405902181102715941786224656713905846533161685567124263447653452881398437158237948604064751888044-0.3972189241440491267435532941562240884841270217357115322043064647394869422989101692703160553733282313j
-0.8194688421490564389207896994568371700209688813439866065633818451312289726718171177226459534080898863-0.1678121958425558241953484703846518332614686072866337132850644596485335849998789088340332548445809614j                             0.6433682501796148685659329633668070839403050257106449823035247148993419352168381301889606920986856991+0.2750337316511798477869746283167073378709741850587316361981137855784700493502586696927742622258925426j
