Npts=6, Emin=0(0.000735), Emax=1195(0.4398975), step=239

k                                                                                                                                                                                                                             E (Ry)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-27158028866419569263654910695553298977267027934.76109435501356380600287455749963970834858782617812587-11249223883790998076478697994529740494254896718.39560317873233756048018910317927891697306186887380704j                 611013493921624767707140759033371866492375447771926688188194170197236465069031173744539799853.9481475+611013493921624767707140759033371866492375447771926688188194170197236465069031173744525438768.837559j
-11249223883790998076478697994529740494254896718.39560317873233756048018910317927891697306186885560137+27158028866419569263654910695553298977267027934.76109435501356380600287455749963970834858782622207823j                 -611013493921624767707140759033371866492375447771926688188194170197236465069031173744539799856.7450652-611013493921624767707140759033371866492375447771926688188194170197236465069031173744525438768.837559j
-0.8774517399805764436936872169629335536610143742335889517300401433316575917016976775898876454264244326+0.09192405414066024627358102951265897852660785435097591256394488046217738204198239099777075849668477283j              0.761471524265286097276455798077012646261437201659937461359389572896333251545437054040631717482802816-0.1613178425035820916001530627090593375478502735097695198758913021145276652232726975146072544029646518j
-0.8180212377137193346578601291187766250341642097800542026232857563615991271063248445802709711431670076-0.09216672255066548962018447042567151167078555270226547988821257795186690495848047025314071185203285329j              0.6606640406049539650278073810463836258487510624759437491675888582682370112918184416589342480873500066+0.1507886729138247017775410543438699200087197214374603389802218987925073779286461209773217917687686708j
-0.8019015270104793646650865358688018925752419638312044835473714246995665797994284970709204321748108957-0.2606041970836655756034987789381277962662753283929145444922167146731961781306865400442100435779910763j               0.5751315114841165567535701825920814987510015096782697236695397641959051963768512142444561087859881301+0.4179578071734626764965428601307687282827416006992759673184245518279932281643206726006433997448704871j
-0.7778637332654508381672803456406476626784636592387309198307651311140499256842656381806410490639687398-0.1176875781758979946464024834024776635820670237226882915329913118873861741636500990036210672563919017j               0.5912216214727563469190990298285691671838419468718331418454682521765771034887167760101252293408331254+0.1830897978377472220230682071924076577229399487851302248746789542919160147225668044524355517205221103j
-0.7305540291680617831506919510593252288253414532296378983106782698637957730523808039375711488312499592+0.2276719783169924719779796531755472873134039156145780712709737634757221215837272958777462442601455268j               0.481874659822916176318412773469140052937188593943018261223647189575587759094869956670723124003782077-0.3326533621762848964311641271194789930853604889136539181975143853476247076224674792711287306390518258j
-0.7237784809957702243131504874072899395983173745927168330568600185787721790753060362228053126859855365+0.01598909960477823124327131323530459278865317932548834430002085101535441141532996759031545916165522057j              0.523599638246373000366276721994378604023445060306739886688563631657799115096942045419907436855524048-0.02314513244887291649271749290185744926354882334150548786922735429464760185591776957377041474234803157j
-0.6373834459345560238518621785495442028021130996331694525325722827232852743959126805171255245960635026+0.4205400262912146070457340142127668073576502462408054563195547173670035672662854027308183320534512757j               0.2294037434383936290078076533669856431586593978210589760750639043787920442434001044129624802354112954-0.5360905022218063086288126489929958020235152443371166429770029261766791211049214617608503360448695742j
-0.601982195536582954886416992921184769265177487022248823482072652997853781177491670647904623689283736+0.3602102188197831944300204816250703960314989734972000605281356402215437677916155036418687197530424576j                0.2326311620008487042233512089114751854176082577835880164795056293546530492008318740799053499835530361-0.433680276759692120803395245032295913905430039609148116532499791142912002277260012466201802675971501j
-0.5761851881649372294732704945253640277729885788353681251664063083899886726264039583433702856185899238-0.3737226007207577805113157915473432263785892567866260538978724840122638779868765424951221968610666722j               0.1923207887711771772463869791483576381547191792110569016880768374486299337436964023745506928417210376+0.4306668540355590552416045932724391984292442669872040845648877667671046670090677317244394059021753614j
-0.4413587640868936015494587824009585501800573228680550164280867153598496704181678788486756346540872401-0.5595416664410697711972999563057393959859910761331021163364457922001452094798355052298785461412671085j               -0.1182893178473391842241888834410196461596640172542830030068069270215617582074497976557174695335849282+0.493917236711102847334907196618496214399327243685877493012079385971370357831683607529135051868029448j
-0.3962612323323930314012742777899936939309127042380879808263263993594022814492153819978710460044046096+0.5138704191455133885152704482876122587672827719276821220353395783865896675497941235138752189131591034j               -0.1070398434231988445010253818588675445097683953488373255390782752865770840192534512513071658544360804-0.4072538510995289379455526504631401829627005024515223415571657649284621278785597909026442465264595535j
-0.3211161729776046462249375787345356557858950365304457248809246143832857153683413513354238430474440744-0.5758119223493799750211017162422744866944407854760411776355365612059269943529961091624821721385483386j               -0.2284437733719054855664482497547202907776947801637857398215166485208710785379731579212533956038701664+0.3698050417194211095853972815241807659055815360022225194648600505351425272446431634306101234017539976j
-0.3061375957659990819847277995672303538415430007526445888962489723654419464131449657195489899118729754-0.1352663198552586039114111474667382760694366598112266765261952186804569702268867334510160762301718843j               0.07542325025420113102896092858847384125572172304054278566522013412993930519374971196487180480543352384+0.08282021189720698787415530172353501756571750263971750314735134148254850085495311102143022191774023708j
-0.3047075209454257071588673301083402356356558118190560662226658878997828661323456254031309712608276294+0.1354098505229439200535038509889275279496713775836447467049220746251310861454120679157571038098852344j               0.07451084570206103021989494769492025024608579253621167166991793220680918566428924267628464456897900713-0.08252079972887379733102440501234110016276559433256370544765423727897378447268295957047065861991311946j
-0.290427326416529182627835718059035078995444212369259064359590791807976541145551342499569218087012329+0.1326415805253589719829175660162713181979688532312960806465158318200883209418950920131640064569191063j                0.06675424304518790109865063413171082601157860223769727258151435521662507226230628727491597641272821183-0.07704547920728554108359938237312759349590359774288506087592710472595079989154878406874274055562254767j
-0.2901949052484177094896177415706085174327046697855993572218205410428417847375551005219893479535458568-0.1325947631478622981531567784179947333366556165905192402946860071072343046445960123091521640131167208j               0.06663171181790043049065621570337461190049983140635156611735641227131870534769133106208311247558941383+0.07695664945626057583429467118868851712701886088839269320209845917964904765813382148101346172719938012j
-0.2774846583064260418574252239622804181671527053965882348635481130721830682868256948818554009011840067-0.001143417764160532017854012754648540922696706937157408040710021409731943163716780983671012108349396639j             0.07699642819125061707808172933468863715859136002825252204721529113883813118691832268467288640171786347+0.0006345617751791657274668987407076576598944426261441063408901729642564828150881511604062936548120257829j
